要求编号,批次号,审计项编码,审计项标题,维度,要求类型,要求内容,适用范围,执行频率,数量要求,资格要求,保存期限,关键词,置信度
REQ-001,,NEW-20260227112113-M004,公司是否建立IT治理委员会。,XC信息技术治理,建立组织,,,,,,,,0.95
REQ-002,,NEW-20260227112113-M005,IT治理委员会是否由公司主要负责人、相关高级管理人员及相关部门负责人组成。,XC信息技术治理,建立组织,,,,,,,,0.9
REQ-003,,NEW-20260227112113-M006,是否明确公司IT治理委员会工作职责，制定公司IT治理委员会议事规则，IT治理委员会审议内容是否全面。,XC信息技术治理,建立制度,,,,,,,,0.95
REQ-004,,NEW-20260227112113-M007,是否定期召开会议决策信息技术治理重大事项,XC信息技术治理,定期执行,,,,,,,,0.9
REQ-005,,NEW-20260227112113-M008,公司是否设置首席信息官岗位。,XC信息技术治理,人员配备,,,,,,,,0.95
REQ-006,,NEW-20260227112113-M009,首席信息官是否满足任职资格要求。,XC信息技术治理,人员配备,,,,,,,,0.9
REQ-007,,NEW-20260227112113-M010,分管IT的高管人员是否有IT专业背景或工作经验,XC信息技术治理,人员配备,,,,,,,,0.9
REQ-008,,NEW-20260227112113-M011,公司是否设立信息技术内部审计岗，配备专职信息技术审计人员。,XC信息技术治理,人员配备,,,,,,,,0.95
REQ-009,,NEW-20260227112113-M012,信息技术审计人员是否有信息技术相关专业学历或工作经验。,XC信息技术治理,人员配备,,,,,,,,0.9
REQ-010,,NEW-20260227112113-M013,公司是否设立信息技术合规及风险管理部门及岗位。,XC信息技术治理,建立组织,,,,,,,,0.9
REQ-011,,NEW-20260227112113-M013,公司是否设立信息技术合规及风险管理部门及岗位。,XC信息技术治理,人员配备,,,,,,,,0.95
REQ-012,,NEW-20260227112113-M014,信息技术合规及风险管理岗位人员是否具有信息技术专业背景或相关IT工作经验。,XC信息技术治理,人员配备,,,,,,,,0.9
REQ-013,,NEW-20260227112113-M015,是否设立信息安全管理工作的职能部门，设立安全主管、安全管理各个方面的负责人岗位，并定义各负责人的职责。,XC信息技术治理,建立组织,,,,,,,,0.95
REQ-014,,NEW-20260227112113-M015,是否设立信息安全管理工作的职能部门，设立安全主管、安全管理各个方面的负责人岗位，并定义各负责人的职责。,XC信息技术治理,建立制度,,,,,,,,0.9
REQ-015,,NEW-20260227112113-M016,机房管理员、网络管理员、系统管理员、数据库管理员、安全管理员等关键岗位是否设置主备岗。,XC信息技术治理,人员配备,,,,,,,,0.9
REQ-016,,NEW-20260227112113-M017,关键岗位是否进行分离，兼岗时是否满足岗位相互制约的要求。,XC信息技术治理,岗位分离,,,,,,,,0.95
REQ-017,,NEW-20260227112113-M018,公司是否配备足够的信息技术人员，公司的IT工作人员总数不少于公司员工总人数的6%。,XC信息技术治理,人员配备,,,,,,,,0.9
REQ-018,,NEW-20260227112113-M019,,,建立制度,,,,,,,,0.95
REQ-019,,NEW-20260227112114-M020,是否至少每年一次评审、修订信息技术管理制度和操作流程。,XC信息技术治理,定期执行,,,,,,,,0.95
REQ-020,,NEW-20260227112114-M021,是否制定软件开发管理制度。,XC信息技术治理,建立制度,,,,,,,,0.95
REQ-021,,NEW-20260227112114-M022,软件开发管理制度中是否明确软件设计、开发、测试、验收过程的控制方法和人员行为准则。,XC信息技术治理,建立制度,,,,,,,,0.9
REQ-022,,NEW-20260227112114-M023,是否建立运维管理制度。,XC信息技术治理,建立制度,,,,,,,,0.95
REQ-023,,NEW-20260227112114-M024,运维管理制度是否对日常操作、监控管理、事件处理、问题处理、数据和介质管理、机房管理、安全管理、应急处置进行规范。,XC信息技术治理,建立制度,,,,,,,,0.9
REQ-024,,NEW-20260227112114-M025,是否建立变更管理制度。,XC信息技术治理,建立制度,,,,,,,,0.95
REQ-025,,NEW-20260227112114-M026,变更管理制度是否包含系统发生变更前，向主管领导申请，变更和变更方案经过评审、审批后方可实施变更，并在实施后将变更情况向相关人员通告。,XC信息技术治理,建立制度,,,,,,,,0.9
REQ-026,,NEW-20260227112114-M027,是否建立IT审计制度或在公司审计制度内对IT审计进行要求。,XC信息技术治理,建立制度,,,,,,,,0.95
REQ-027,,NEW-20260227112114-M028,是否建立备份与恢复管理相关的安全管理制度。,XC信息技术治理,建立制度,,,,,,,,0.95
REQ-028,,NEW-20260227112114-M029,备份与恢复管理相关的安全管理制度只是否对备份信息的备份方式、备份频度、存储介质和保存期等进行规范。,XC信息技术治理,建立制度,,,,,,,,0.9
REQ-029,,NEW-20260227112114-M030,是否建立信息安全事件相关管理制度。,XC信息技术治理,建立制度,,,,,,,,0.95
REQ-030,,NEW-20260227112114-M031,信息安全事件相关管理制度中是否制定安全事件报告和响应处理程序，确定事件的报告流程，响应和处置的范围、程度，以及处理方法等。,XC信息技术治理,建立制度,,,,,,,,0.9
REQ-031,,NEW-20260227112114-M032,公司是否制定IT合规及风险管理策略和制度。,XC信息技术治理,建立制度,,,,,,,,0.95
REQ-032,,NEW-20260227112114-M033,是否建立供应商管理制度。,XC信息技术治理,建立制度,,,,,,,,0.95
REQ-033,,NEW-20260227112114-M034,是否对年度安全教育和培训进行书面规定，针对运维人员等不同岗位制定不同的培训计划，对信息安全基础知识、岗位操作规程、机房消防及相关应急内容等进行培训，并留存培训记录。,XC信息技术治理,建立制度,,,,,,,,0.9
REQ-034,,NEW-20260227112114-M034,是否对年度安全教育和培训进行书面规定，针对运维人员等不同岗位制定不同的培训计划，对信息安全基础知识、岗位操作规程、机房消防及相关应急内容等进行培训，并留存培训记录。,XC信息技术治理,定期执行,,,,,,,,0.9
REQ-035,,NEW-20260227112114-M034,是否对年度安全教育和培训进行书面规定，针对运维人员等不同岗位制定不同的培训计划，对信息安全基础知识、岗位操作规程、机房消防及相关应急内容等进行培训，并留存培训记录。,XC信息技术治理,文件保存,,,,,,,,0.9
REQ-036,,NEW-20260227112114-M035,安全教育培训是否覆盖全体员工。,XC信息技术治理,建立制度,,,,,,,,0.9
REQ-037,,NEW-20260227112114-M036,安全教育培训是否每年进行一次。,XC信息技术治理,定期执行,,,,,,,,0.95
REQ-038,,NEW-20260227112114-M037,安全教育培训是否包含网络攻击防范以及员工邮件安全意识教育，提高员工对网络攻击尤其是钓鱼邮件、仿冒邮件的辨识能力。,XC信息技术治理,建立制度,,,,,,,,0.9
REQ-039,,NEW-20260227112114-M038,是否对各个岗位的人员至少每年一次进行安全技能及安全认知的考核。,XC信息技术治理,定期执行,,,,,,,,0.95
REQ-040,,NEW-20260227112114-M039,是否对安全技能及安全认知考核结果进行记录并保存。,XC信息技术治理,文件保存,,,,,,,,0.95
REQ-041,,NEW-20260227112114-M040,安全技能和安全认知考核是否覆盖所有岗位。,XC信息技术治理,建立制度,,,,,,,,0.9
REQ-042,,NEW-20260227112114-M041,安全技能和安全认知考核覆盖内容是否全面。,XC信息技术治理,建立制度,,,,,,,,0.85
REQ-043,,NEW-20260227112114-M042,是否对安全责任和惩戒措施进行书面规定并告知相关人员，并对违反违背安全策略和规定的人员进行惩戒。,XC信息技术治理,建立制度,,,,,,,,0.95
REQ-044,,NEW-20260227112114-M043,是否建立信息系统数据管理制度，对在线和离线数据的使用、备份、存放、保护及恢复验证等活动进行规范。,XC信息技术治理,建立制度,,,,,,,,0.95
REQ-045,,NEW-20260227112114-M044,是否按照最小化原则配置防火墙访问控制策略。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-046,,NEW-20260227112114-M045,应对远程接入内部网络的行为进行严格限制。,XC网络安全管理与防护,建立制度,,,,,,,,0.95
REQ-047,,NEW-20260227112114-M046,是否在网络边界处部署防病毒网关等设备对恶意代码进行检测和清除。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-048,,NEW-20260227112114-M047,是否定期检查防病毒网关和邮件防病毒网关的恶意代码库的升级情况并进行记录。,XC网络安全管理与防护,定期执行,,,,,,,,0.9
REQ-049,,NEW-20260227112114-M047,是否定期检查防病毒网关和邮件防病毒网关的恶意代码库的升级情况并进行记录。,XC网络安全管理与防护,文件保存,,,,,,,,0.9
REQ-050,,NEW-20260227112114-M048,是否对截获的危险病毒或恶意代码进行及时分析处理，并形成书面的报表和总结汇报。,XC网络安全管理与防护,文件保存,,,,,,,,0.9
REQ-051,,NEW-20260227112114-M049,是否综合运用入侵检测等安全设备，保护网络与系统；是否正确设置安全设备的接口参数和过滤规则。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-052,,NEW-20260227112114-M050,是否在网络边界处监视以下攻击行为：端口扫描、强力攻击、木马后门攻击、拒绝服务攻击、缓冲区溢出攻击、IP碎片攻击和网络蠕虫攻击等。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-053,,NEW-20260227112114-M051,当检测到攻击行为时，是否记录攻击源IP、攻击类型、攻击目的、攻击时间，在发生严重入侵事件时是否提供报警。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-054,,NEW-20260227112114-M051,当检测到攻击行为时，是否记录攻击源IP、攻击类型、攻击目的、攻击时间，在发生严重入侵事件时是否提供报警。,XC网络安全管理与防护,文件保存,,,,,,,,0.9
REQ-055,,NEW-20260227112114-M052,是否使用堡垒机对操作系统、数据库、网络设备进行管控。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-056,,NEW-20260227112115-M053,操作系统、数据库、网络设备、堡垒机应设置密码安全策略。,XC网络安全管理与防护,建立制度,,,,,,,,0.95
REQ-057,,NEW-20260227112115-M054,应建立用户认证和访问控制流程。,XC网络安全管理与防护,建立制度,,,,,,,,0.95
REQ-058,,NEW-20260227112115-M055,是否建立补丁管理流程，持续跟踪厂商提供的系统升级更新情况，在经过充分的测试评估后对必要的系统补丁进行及时更新。,XC网络安全管理与防护,建立制度,,,,,,,,0.95
REQ-059,,NEW-20260227112115-M055,是否建立补丁管理流程，持续跟踪厂商提供的系统升级更新情况，在经过充分的测试评估后对必要的系统补丁进行及时更新。,XC网络安全管理与防护,定期执行,,,,,,,,0.9
REQ-060,,NEW-20260227112115-M056,是否通过设置升级服务器等方式保持系统补丁及时得到更新。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-061,,NEW-20260227112115-M057,在安装系统补丁前是否对重要文件进行备份，在测试环境中测试通过再安装。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-062,,NEW-20260227112115-M058,是否对所有服务器安装防木马、病毒等防恶意代码软件，定期进行全面检查，并及时更新防恶意代码软件版本和恶意代码库。a)原则上所有主机应安装防恶意代码软件，系统不支持该要求的除外；b)未安装防恶意代码软件的主机，应采取有效措施进行恶意代码防范。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-063,,NEW-20260227112115-M058,是否对所有服务器安装防木马、病毒等防恶意代码软件，定期进行全面检查，并及时更新防恶意代码软件版本和恶意代码库。a)原则上所有主机应安装防恶意代码软件，系统不支持该要求的除外；b)未安装防恶意代码软件的主机，应采取有效措施进行恶意代码防范。,XC网络安全管理与防护,定期执行,,,,,,,,0.9
REQ-064,,NEW-20260227112115-M059,是否对终端软件安装进行限制和管理。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-065,,NEW-20260227112115-M060,是否对所有终端安装防木马、病毒等防恶意代码软件。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-066,,NEW-20260227112115-M061,是否设置专人负责室外LED大屏的安全管理。,XC网络安全管理与防护,人员配备,,,,,,,,0.9
REQ-067,,NEW-20260227112115-M062,是否配置LED屏幕播放内容监控设备。,XC网络安全管理与防护,建立制度,,,,,,,,0.85
REQ-068,,NEW-20260227112115-M063,是否对LED屏幕操作权限进行控制。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-069,,NEW-20260227112115-M064,是否建立安全管理中心，对设备状态、恶意代码、补丁升级、安全审计等安全相关事项进行集中管理。,XC网络安全管理与防护,建立组织,,,,,,,,0.95
REQ-070,,NEW-20260227112115-M064,是否建立安全管理中心，对设备状态、恶意代码、补丁升级、安全审计等安全相关事项进行集中管理。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-071,,NEW-20260227112115-M065,是否对系统大流量数据异常外传、非授权传输等数据访问情况进行监测。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-072,,NEW-20260227112115-M066,是否对网站进行安全监测。,XC网络安全管理与防护,定期执行,,,,,,,,0.9
REQ-073,,NEW-20260227112115-M067,是否与CDN服务提供商、基础电信系运营企业联动，抵御DDOS攻击。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-074,,NEW-20260227112115-M068,是否根据数据完整性、保密性、可用性等安全属性遭到破坏后的影响对象和影响程度综合对数据进行分级。,XC网络安全管理与防护,建立制度,,,,,,,,0.95
REQ-075,,NEW-20260227112115-M069,是否建立不同等级敏感数据保护流程。,XC网络安全管理与防护,建立制度,,,,,,,,0.95
REQ-076,,NEW-20260227112115-M070,是否采取技术手段防止内部人员将系统架构、开发代码等内部数据泄露。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-077,,NEW-20260227112115-M071,在线数据和离线数据用于非生产环境时，是否进行脱敏处理；用于模拟测试时如无法进行脱敏处理，测试环境应采取与生产环境相当的安全措施。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-078,,NEW-20260227112115-M072,是否建立离线数据的调阅、复制、传输、查询和登记流程。,XC网络安全管理与防护,建立制度,,,,,,,,0.95
REQ-079,,NEW-20260227112115-M073,离线数据存储介质入库前的调阅、复制、传输、查询是否进行了登记。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-080,,NEW-20260227112115-M073,离线数据存储介质入库前的调阅、复制、传输、查询是否进行了登记。,XC网络安全管理与防护,文件保存,,,,,,,,0.9
REQ-081,,NEW-20260227112115-M074,离线数据存储介质入库后的调阅、复制、传输、查询是否进行了登记。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-082,,NEW-20260227112115-M074,离线数据存储介质入库后的调阅、复制、传输、查询是否进行了登记。,XC网络安全管理与防护,文件保存,,,,,,,,0.9
REQ-083,,NEW-20260227112115-M075,是否建立至少每季度扫描并修补漏洞的工作机制，定义扫描检测的内容和程序，明确漏洞扫描工具和扫描频率，记录扫描结果及处理情况。,XC网络安全管理与防护,建立制度,,,,,,,,0.95
REQ-084,,NEW-20260227112115-M075,是否建立至少每季度扫描并修补漏洞的工作机制，定义扫描检测的内容和程序，明确漏洞扫描工具和扫描频率，记录扫描结果及处理情况。,XC网络安全管理与防护,定期执行,,,,,,,,0.95
REQ-085,,NEW-20260227112115-M076,是否对新上线的设备在接入运行网络前进行全面的安全检查。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-086,,NEW-20260227112115-M077,是否对漏洞风险持续跟踪，在经过充分的验证测试后对必要的漏洞开展修补工作。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-087,,NEW-20260227112115-M078,是否在漏洞扫描或漏洞修补后进行验证测试，以保证网络系统的正常运行。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-088,,NEW-20260227112115-M079,是否对网上信息系统进行渗透测试，并出具安全性测试报告。,XC网络安全管理与防护,定期执行,,,,,,,,0.9
REQ-089,,NEW-20260227112115-M079,是否对网上信息系统进行渗透测试，并出具安全性测试报告。,XC网络安全管理与防护,文件保存,,,,,,,,0.9
REQ-090,,NEW-20260227112115-M080,是否定期对服务器和终端进行全面病毒扫描。,XC网络安全管理与防护,定期执行,,,,,,,,0.95
REQ-091,,NEW-20260227112115-M081,全面病毒扫描不得在交易时段内进行。,XC网络安全管理与防护,建立制度,,,,,,,,0.9
REQ-092,,NEW-20260227112115-M082,是否由内部人员每年进行一次全面安全检查。,XC网络安全管理与防护,定期执行,,,,,,,,0.95
REQ-093,,NEW-20260227112115-M083,是否对安全区域隔离情况进行检查。,XC网络安全管理与防护,定期执行,,,,,,,,0.9
REQ-094,,NEW-20260227112115-M084,是否对系统弱口令、默认口令、通用口令、长期不变口令进行检查。,XC网络安全管理与防护,定期执行,,,,,,,,0.9
REQ-095,,NEW-20260227112115-M085,是否对系统中高危漏洞进行检查。,XC网络安全管理与防护,定期执行,,,,,,,,0.9
REQ-096,,NEW-20260227112115-M086,是否对端口及服务开启情况进行检查，并关闭非必要端口和服务。,XC网络安全管理与防护,定期执行,,,,,,,,0.9
REQ-097,,NEW-20260227112115-M087,,,定期执行,,,,,,,,0.9
REQ-098,,NEW-20260227112115-M088,,,定期执行,,,,,,,,0.9
REQ-099,,NEW-20260227112115-M089,,,定期执行,,,,,,,,0.9
REQ-100,,NEW-20260227112115-M090,,,定期执行,,,,,,,,0.9
REQ-101,,NEW-20260227112115-M091,,,建立制度,,,,,,,,0.9
REQ-102,,NEW-20260227112115-M092,,,定期执行,,,,,,,,0.95
REQ-103,,NEW-20260227112116-M093,在开展信息系统新建、升级、变更、换代等建设项目时，是否进行充分论证和测试，论证材料包括需求分析、立项报告等。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-104,,NEW-20260227112116-M093,在开展信息系统新建、升级、变更、换代等建设项目时，是否进行充分论证和测试，论证材料包括需求分析、立项报告等。,XC重要信息系统管理,文件保存,,,,,,,,0.9
REQ-105,,NEW-20260227112116-M094,业务系统开发项目前是否将信息安全要求纳入系统设计。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-106,,NEW-20260227112116-M095,是否制定代码编写规范，要求开发人员参照规范编写代码。,XC重要信息系统管理,建立制度,,,,,,,,0.95
REQ-107,,NEW-20260227112116-M096,是否建立完整、规范的系统测试操作流程，对测试工作的计划、实施及总结做出详细的规定。对于在生产系统上进行的测试工作，必须制定详细的系统及数据备份、测试环境搭建、测试后系统及数据恢复、生产系统审核等计划，确保生产系统的安全。,XC重要信息系统管理,建立制度,,,,,,,,0.95
REQ-108,,NEW-20260227112116-M097,是否根据系统上线要求制定测试方案，确定采用的测试方法和测试流程。测试方案及测试用例覆盖功能、性能、容量、安全性、稳定性等方面。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-109,,NEW-20260227112116-M098,生产环境测试前是否备份当前系统的数据和配置。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-110,,NEW-20260227112116-M099,是否为系统测试配备必要的人员和设备资源。,XC重要信息系统管理,人员配备,,,,,,,,0.9
REQ-111,,NEW-20260227112116-M100,涉及核心交易业务系统的上线测试，是否组织全市场或全公司各相关部门测试。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-112,,NEW-20260227112116-M101,是否禁止交易时段使用生产环境进行测试。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-113,,NEW-20260227112116-M102,是否测试完成后对测试结果进行分析评估，并给出测试报告。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-114,,NEW-20260227112116-M103,是否根据需要，要求生产系统运维人员和业务部门组织业务人员参与模拟环境测试。,XC重要信息系统管理,建立制度,,,,,,,,0.85
REQ-115,,NEW-20260227112116-M104,是否指定或授权专门的部门负责系统测试验收的管理，并按照管理规定的要求完成系统测试验收工作。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-116,,NEW-20260227112116-M104,是否指定或授权专门的部门负责系统测试验收的管理，并按照管理规定的要求完成系统测试验收工作。,XC重要信息系统管理,建立组织,,,,,,,,0.9
REQ-117,,NEW-20260227112116-M105,是否在系统上线验收前经过安全测试。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-118,,NEW-20260227112116-M106,是否根据生产环境测试的结果设计系统升级过程及应急预案。,XC重要信息系统管理,建立制度,,,,,,,,0.85
REQ-119,,NEW-20260227112116-M107,是否针对系统制定应急操作手册。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-120,,NEW-20260227112116-M108,是否对信息系统进行投产及变更的风险评估工作。,XC重要信息系统管理,建立制度,,,,,,,,0.85
REQ-121,,NEW-20260227112116-M109,是否定期对系统容量进行检查和评估，形成评估报告。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-122,,NEW-20260227112116-M109,是否定期对系统容量进行检查和评估，形成评估报告。,XC重要信息系统管理,定期执行,,,,,,,,0.95
REQ-123,,NEW-20260227112116-M109,是否定期对系统容量进行检查和评估，形成评估报告。,XC重要信息系统管理,文件保存,,,,,,,,0.9
REQ-124,,NEW-20260227112116-M110,是否建立配置库，对交易业务系统的服务器、存储、网络、安全设备，操作系统、应用软件、数据库等进行管理。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-125,,NEW-20260227112116-M110,是否建立配置库，对交易业务系统的服务器、存储、网络、安全设备，操作系统、应用软件、数据库等进行管理。,XC重要信息系统管理,文件保存,,,,,,,,0.85
REQ-126,,NEW-20260227112116-M111,配置项属性至少包括编号、名称、描述、维护责任人、运行状态、关联关系等。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-127,,NEW-20260227112116-M112,是否对所有事件响应、处理、结束等过程进行跟踪、督促及检查。,XC重要信息系统管理,建立制度,,,,,,,,0.85
REQ-128,,NEW-20260227112116-M113,事件记录中事件处理情况，是否包括事件暴露出的问题及采取的整改措施，责任追究情况。,XC重要信息系统管理,建立制度,,,,,,,,0.85
REQ-129,,NEW-20260227112116-M113,事件记录中事件处理情况，是否包括事件暴露出的问题及采取的整改措施，责任追究情况。,XC重要信息系统管理,文件保存,,,,,,,,0.9
REQ-130,,NEW-20260227112116-M114,是否将监控、分析、自查、检查、测评、评估和事件处理中发现的问题进行汇总，并纳入问题库。,XC重要信息系统管理,建立制度,,,,,,,,0.85
REQ-131,,NEW-20260227112116-M114,是否将监控、分析、自查、检查、测评、评估和事件处理中发现的问题进行汇总，并纳入问题库。,XC重要信息系统管理,文件保存,,,,,,,,0.9
REQ-132,,NEW-20260227112116-M115,是否组织对问题进行分析、提出解决方案、通过变更管理审批后部署实施。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-133,,NEW-20260227112116-M117,是否采取人工值守和自动化工具相结合的方式，对交易业务系统进行24小时监控。交易时段应指定人员对交易业务系统进行监控，交易时段以外如无法做到人工监控，是否开启自动监控系统和自动报警系统。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-134,,NEW-20260227112116-M118,是否建立辅助的人工巡检流程，规定巡检内容、频度、人员等。巡检内容应覆盖电力、空调、消防、安防等机房设施，主机、网络、通信、安全等设备的运行状况。巡检结果应及时记录，如遇异常应及时处理，并按规定要求进行报告。,XC重要信息系统管理,建立制度,,,,,,,,0.95
REQ-135,,NEW-20260227112116-M118,是否建立辅助的人工巡检流程，规定巡检内容、频度、人员等。巡检内容应覆盖电力、空调、消防、安防等机房设施，主机、网络、通信、安全等设备的运行状况。巡检结果应及时记录，如遇异常应及时处理，并按规定要求进行报告。,XC重要信息系统管理,文件保存,,,,,,,,0.9
REQ-136,,NEW-20260227112117-M119,,,人员配备,,,,,,,,0.95
REQ-137,,NEW-20260227112117-M120,运维值班负责人是否有备岗，主备岗是否不得同时离岗。,XC重要信息系统管理,人员配备,,,,,,,,0.9
REQ-138,,NEW-20260227112117-M120,运维值班负责人是否有备岗，主备岗是否不得同时离岗。,XC重要信息系统管理,建立制度,,,,,,,,0.85
REQ-139,,NEW-20260227112117-M121,是否每日分析核心交易业务系统监控日志及巡检记录，形成评估记录，跟踪处理日志分析中发现的异常事件。,XC重要信息系统管理,定期执行,,,,,,,,0.95
REQ-140,,NEW-20260227112117-M121,是否每日分析核心交易业务系统监控日志及巡检记录，形成评估记录，跟踪处理日志分析中发现的异常事件。,XC重要信息系统管理,文件保存,,,,,,,,0.9
REQ-141,,NEW-20260227112117-M122,是否建立变更管理流程，对重要变更、一般变更、紧急变更进行定义，并建立不同的管理流程。,XC重要信息系统管理,建立制度,,,,,,,,0.95
REQ-142,,NEW-20260227112117-M123,是否明确信息技术部门、风控、合规及相关业务部门角色在变更管理中的审核责任，进行事前审查、事中确认及事后跟踪。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-143,,NEW-20260227112117-M124,变更后是否经业务部门确认。,XC重要信息系统管理,建立制度,,,,,,,,0.85
REQ-144,,NEW-20260227112117-M125,是否利用软件工具或管理平台记录重要变更操作，并实时存档和备份功能。,XC重要信息系统管理,文件保存,,,,,,,,0.95
REQ-145,,NEW-20260227112117-M126,是否在设备和软件投入使用前进行必要的验证性测试，并保留测试记录。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-146,,NEW-20260227112117-M126,是否在设备和软件投入使用前进行必要的验证性测试，并保留测试记录。,XC重要信息系统管理,文件保存,,,,,,,,0.9
REQ-147,,NEW-20260227112117-M127,是否禁止在交易时段对交易业务网的网络设备、安全设备、系统设备进行更换或变更配置。,XC重要信息系统管理,建立制度,,,,,,,,0.95
REQ-148,,NEW-20260227112117-M128,邮件系统是否设置密码策略。,XC重要信息系统管理,建立制度,,,,,,,,0.85
REQ-149,,NEW-20260227112117-M129,是否对批量下载邮件、异常时段登陆的行为进行监控。,XC重要信息系统管理,建立制度,,,,,,,,0.85
REQ-150,,NEW-20260227112117-M130,网上交易客户端是否提供可靠的身份认证机制，支持多种方式与服务端完成身份认证。,XC重要信息系统管理,建立制度,,,,,,,,0.85
REQ-151,,NEW-20260227112117-M131,客户进行资金交易时，根据客户意愿，可采取认证强度与交易额度相匹配的技术措施，提高交易的安全性。,XC重要信息系统管理,建立制度,,,,,,,,0.8
REQ-152,,NEW-20260227112117-M132,在交易环节，依据对用户IP、个人终端IMME等标识信息采取异常行为监控措施防范盗买盗卖。,XC重要信息系统管理,建立制度,,,,,,,,0.8
REQ-153,,NEW-20260227112117-M133,应具有防网络钓鱼的功能，例如，显示客户预留信息、使用预留信息卡、客户自定义个性化界面等。,XC重要信息系统管理,建立制度,,,,,,,,0.8
REQ-154,,NEW-20260227112117-M134,对于客户账号、手机号码、证件类识别标识或其他识别标识信息等可以直接或组合后确定个人金融信息主体的信息应进行屏蔽展示，或由用户选择是否屏蔽展示，如需完整展示，应进行用户身份验证，并做好此类信息管理，防范此类信息泄露风险。,XC重要信息系统管理,建立制度,,,,,,,,0.9
