要求编号,批次号,审计项编码,审计项标题,维度,要求类型,要求内容,适用范围,执行频率,数量要求,资格要求,保存期限,关键词,置信度
REQ-155,,NEW-20260227112117-M135,三级系统是否至少每年对系统进行一次等级测评，发现不符合相应等级保护标准要求的及时整改。,XC重要信息系统管理,定期执行,,,,,,,,0.95
REQ-156,,NEW-20260227112117-M135,三级系统是否至少每年对系统进行一次等级测评，发现不符合相应等级保护标准要求的及时整改。,XC重要信息系统管理,文件保存,,,,,,,,0.9
REQ-157,,NEW-20260227112117-M136,是否在系统发生变更时及时对系统进行等级测评，发现级别发生变化的及时调整级别并进行安全改造，发现不符合相应等级保护标准要求的及时整改。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-158,,NEW-20260227112117-M136,是否在系统发生变更时及时对系统进行等级测评，发现级别发生变化的及时调整级别并进行安全改造，发现不符合相应等级保护标准要求的及时整改。,XC重要信息系统管理,文件保存,,,,,,,,0.9
REQ-159,,NEW-20260227112117-M137,是否组织相关部门和有关安全技术专家对信息系统定级结果的合理性和正确性进行论证和审定。,XC重要信息系统管理,建立制度,,,,,,,,0.85
REQ-160,,NEW-20260227112117-M138,是否授予不同账户为完成各自承担任务所需的最小权限。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-161,,NEW-20260227112117-M139,不同账户是否形成相互制约的关系。,XC重要信息系统管理,岗位分离,,,,,,,,0.95
REQ-162,,NEW-20260227112117-M140,是否存在共用账号。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-163,,NEW-20260227112117-M141,是否中止离职人员访问权限。,XC重要信息系统管理,建立制度,,,,,,,,0.85
REQ-164,,NEW-20260227112117-M142,是否建立信息系统用户认证和访问控制流程。,XC重要信息系统管理,建立制度,,,,,,,,0.95
REQ-165,,NEW-20260227112117-M143,是否能够对单个账户的多重并发会话进行限制。,XC重要信息系统管理,建立制度,,,,,,,,0.85
REQ-166,,NEW-20260227112117-M144,是否能够对一个时间段内可能的并发会话连接数进行限制。,XC重要信息系统管理,建立制度,,,,,,,,0.85
REQ-167,,NEW-20260227112117-M145,是否能够对一个访问账户或一个请求进程占用的资源分配最大限额和最小限额。,XC重要信息系统管理,建立制度,,,,,,,,0.8
REQ-168,,NEW-20260227112117-M146,公司核心业务系统备份是否符合《证券期货经营机构信息系统备份能力标准规范》的相关要求。,XC重要信息系统管理,建立制度,,,,,,,,0.9
REQ-169,,NEW-20260227112117-M147,是否至少每季度对核心交易业务系统的备份数据进行一次有效性验证，如发现问题是否采取措施修复备份数据，并查明原因。,XC重要信息系统管理,定期执行,,,,,,,,0.95
REQ-170,,NEW-20260227112117-M147,是否至少每季度对核心交易业务系统的备份数据进行一次有效性验证，如发现问题是否采取措施修复备份数据，并查明原因。,XC重要信息系统管理,文件保存,,,,,,,,0.9
REQ-171,,NEW-20260227112117-M148,是否对网络安全事件进行记录。,XC事件与应急管理情况,建立制度,,,,,,,,0.85
REQ-172,,NEW-20260227112117-M148,是否对网络安全事件进行记录。,XC事件与应急管理情况,文件保存,,,,,,,,0.9
REQ-173,,NEW-20260227112117-M149,是否在安全事件报告和响应处理过程中，分析和鉴定事件产生的原因，收集证据，记录处理过程，总结经验教训，制定防止再次发生的补救措施。,XC事件与应急管理情况,建立制度,,,,,,,,0.9
REQ-174,,NEW-20260227112117-M149,是否在安全事件报告和响应处理过程中，分析和鉴定事件产生的原因，收集证据，记录处理过程，总结经验教训，制定防止再次发生的补救措施。,XC事件与应急管理情况,文件保存,,,,,,,,0.95
REQ-175,,NEW-20260227112117-M150,合规部门、风险管理部门或岗位是否参与信息技术安全事故处理工作。,XC事件与应急管理情况,建立制度,,,,,,,,0.9
REQ-176,,NEW-20260227112117-M151,是否在网络与信息安全事件发生后，按有关规定报告事件情况，并保持持续报告，直至系统恢复正常运行，报告要素应完备、及时、准确，不得迟报、漏报、谎报或瞒报。,XC事件与应急管理情况,建立制度,,,,,,,,0.95
REQ-177,,NEW-20260227112117-M151,是否在网络与信息安全事件发生后，按有关规定报告事件情况，并保持持续报告，直至系统恢复正常运行，报告要素应完备、及时、准确，不得迟报、漏报、谎报或瞒报。,XC事件与应急管理情况,文件保存,,,,,,,,0.9
REQ-178,,NEW-20260227112117-M152,接到中国证监会及其派出机构关于系统漏洞、安全隐患、产品缺陷的信息安全通报书后，是否立即核实情况，采取必要的处置措施，并根据要求进行事件总结报告。事件总结报告内容应当包括：事件基本情况，可能或者已经造成的影响范围和后果，已采取的防范措施及相关建议。,XC事件与应急管理情况,建立制度,,,,,,,,0.9
REQ-179,,NEW-20260227112117-M152,接到中国证监会及其派出机构关于系统漏洞、安全隐患、产品缺陷的信息安全通报书后，是否立即核实情况，采取必要的处置措施，并根据要求进行事件总结报告。事件总结报告内容应当包括：事件基本情况，可能或者已经造成的影响范围和后果，已采取的防范措施及相关建议。,XC事件与应急管理情况,文件保存,,,,,,,,0.9
REQ-180,,NEW-20260227112117-M153,是否对安全责任和惩戒措施进行书面规定并告知相关人员。,XC事件与应急管理情况,建立制度,,,,,,,,0.95
REQ-181,,NEW-20260227112117-M154,,,建立制度,,,,,,,,0.9
REQ-182,,NEW-20260227112118-M155,是否建立健全网络与信息安全事件应急处置组织体系，明确网络与信息安全事件的应急指挥决策机构和执行机构，负责网络与信息安全事件的预防预警、应急处置、报告和调查处理工作。,XC事件与应急管理情况,建立组织,,,,,,,,0.95
REQ-183,,NEW-20260227112118-M156,合规部门、风险管理部门或岗位是否参与应急演练工作。,XC事件与应急管理情况,建立制度,,,,,,,,0.85
REQ-184,,NEW-20260227112118-M157,是否在统一的网络与信息安全事件应急预案框架下制定不同事件的应急预案，应急预案框架应包括处置应对责任机制、指挥机制、响应流程、临机处置权限等内容。,XC事件与应急管理情况,建立制度,,,,,,,,0.95
REQ-185,,NEW-20260227112118-M158,应将网络攻击场景纳入应急预案。,XC事件与应急管理情况,建立制度,,,,,,,,0.9
REQ-186,,NEW-20260227112118-M159,应制定外包服务意外终止的应急措施。,XC事件与应急管理情况,建立制度,,,,,,,,0.9
REQ-187,,NEW-20260227112118-M160,网络与信息安全事件应急预案内容是否根据应急演练的情况进行评估和更新。,XC事件与应急管理情况,建立制度,,,,,,,,0.9
REQ-188,,NEW-20260227112118-M161,网络与信息安全事件应急预案内容是否包括网络与信息安全事件处置的具体方案。,XC事件与应急管理情况,建立制度,,,,,,,,0.9
REQ-189,,NEW-20260227112118-M162,网络与信息安全事件应急预案内容是否包括网络与信息安全事件内部调查处理以及分析总结的要求。,XC事件与应急管理情况,建立制度,,,,,,,,0.9
REQ-190,,NEW-20260227112118-M163,网络与信息安全事件应急预案内容是否包括网络与信息安全事件的报告流程。,XC事件与应急管理情况,建立制度,,,,,,,,0.9
REQ-191,,NEW-20260227112118-M164,是否制定应急处置联络手册。应急处置联络手册是否至少包括应急处置组织体系及相关关联单位的应急联络方式。,XC事件与应急管理情况,建立制度,,,,,,,,0.85
REQ-192,,NEW-20260227112118-M164,是否制定应急处置联络手册。应急处置联络手册是否至少包括应急处置组织体系及相关关联单位的应急联络方式。,XC事件与应急管理情况,文件保存,,,,,,,,0.85
REQ-193,,NEW-20260227112118-M165,是否指定通报联络人，明确联络方式。通报联络人至少包括信息技术负责人及其备岗。通报联络方式至少包括应急值守电话与传真。将通报联络人及其联络方式及时通知监管部门、行业协会和相关单位。,XC事件与应急管理情况,人员配备,,,,,,,,0.95
REQ-194,,NEW-20260227112118-M166,应急处置联络手册是否及时更新。,XC事件与应急管理情况,建立制度,,,,,,,,0.85
REQ-195,,NEW-20260227112118-M167,是否向证监会报备应急联络信息，并在发生变化时及时通知相关单位。,XC事件与应急管理情况,建立制度,,,,,,,,0.9
REQ-196,,NEW-20260227112118-M168,是否对系统相关的人员进行应急预案培训，应急预案的培训是否至少每年举办一次。,XC事件与应急管理情况,定期执行,,,,,,,,0.95
REQ-197,,NEW-20260227112118-M168,是否对系统相关的人员进行应急预案培训，应急预案的培训是否至少每年举办一次。,XC事件与应急管理情况,文件保存,,,,,,,,0.9
REQ-198,,NEW-20260227112118-M169,是否根据应急预案的内容，制定详细的应急演练计划。,XC事件与应急管理情况,建立制度,,,,,,,,0.9
REQ-199,,NEW-20260227112118-M169,是否根据应急预案的内容，制定详细的应急演练计划。,XC事件与应急管理情况,文件保存,,,,,,,,0.85
REQ-200,,NEW-20260227112118-M170,应急演练计划是否至少包括演练的目的、内容、时间、参与方、方式、前期准备情况、统计与记录要求、系统恢复与验证要求等内容。,XC事件与应急管理情况,建立制度,,,,,,,,0.9
REQ-201,,NEW-20260227112118-M171,公司应急演练是否覆盖公司核心交易业务系统，是否覆盖其他场景应急演练覆盖情况，包括但不限于网络、通信、灾难、突发事件等方面的应急演练情况。,XC事件与应急管理情况,建立制度,,,,,,,,0.9
REQ-202,,NEW-20260227112118-M171,公司应急演练是否覆盖公司核心交易业务系统，是否覆盖其他场景应急演练覆盖情况，包括但不限于网络、通信、灾难、突发事件等方面的应急演练情况。,XC事件与应急管理情况,定期执行,,,,,,,,0.9
REQ-203,,NEW-20260227112118-M172,是否与银行等外部关联机构开展过联合应急演练，包括银证转账系统、银期转账系统、基金估值系统等。,XC事件与应急管理情况,定期执行,,,,,,,,0.85
REQ-204,,NEW-20260227112118-M173,是否对演练中发现的问题进行改进。,XC事件与应急管理情况,建立制度,,,,,,,,0.85
REQ-205,,NEW-20260227112118-M173,是否对演练中发现的问题进行改进。,XC事件与应急管理情况,文件保存,,,,,,,,0.9
REQ-206,,NEW-20260227112118-M174,是否定期或不定期开展信息技术风险评估活动，或聘请外部有资质的机构定期进行信息技术风险评估,XC信息技术风险评估与审计,定期执行,,,,,,,,0.95
REQ-207,,NEW-20260227112118-M174,是否定期或不定期开展信息技术风险评估活动，或聘请外部有资质的机构定期进行信息技术风险评估,XC信息技术风险评估与审计,文件保存,,,,,,,,0.9
REQ-208,,NEW-20260227112118-M175,信息技术风险评估结果是否经IT治理委员会审定后，向公司总经理汇报，并向业务、合规、审计等部门传达,XC信息技术风险评估与审计,建立制度,,,,,,,,0.9
REQ-209,,NEW-20260227112118-M176,公司是否定期开展风险监测机制及执行情况的有效性评估。,XC信息技术风险评估与审计,定期执行,,,,,,,,0.9
REQ-210,,NEW-20260227112118-M176,公司是否定期开展风险监测机制及执行情况的有效性评估。,XC信息技术风险评估与审计,文件保存,,,,,,,,0.9
REQ-211,,NEW-20260227112118-M177,公司风险监测机制及执行情况的有效性评估报告是否报送公司管理层。,XC信息技术风险评估与审计,建立制度,,,,,,,,0.85
REQ-212,,NEW-20260227112118-M177,公司风险监测机制及执行情况的有效性评估报告是否报送公司管理层。,XC信息技术风险评估与审计,文件保存,,,,,,,,0.85
REQ-213,,NEW-20260227112118-M178,是否制定审计计划，审计计划是否保证3年内完成IT全面审计。,XC信息技术风险评估与审计,建立制度,,,,,,,,0.9
REQ-214,,NEW-20260227112118-M178,是否制定审计计划，审计计划是否保证3年内完成IT全面审计。,XC信息技术风险评估与审计,定期执行,,,,,,,,0.9
REQ-215,,NEW-20260227112118-M179,是否对公司进行专项IT审计。,XC信息技术风险评估与审计,建立制度,,,,,,,,0.85
REQ-216,,NEW-20260227112118-M180,在发生较大以上级别信息安全事件或频繁发生安全事件时，内部审计部门或合规风控部门是否对信息技术系统开展专项审计。,XC信息技术风险评估与审计,建立制度,,,,,,,,0.9
REQ-217,,NEW-20260227112118-M181,是否每年对运维制度的执行情况和运维工作开展情况定期进行检查和审计。,XC信息技术风险评估与审计,定期执行,,,,,,,,0.95
REQ-218,,NEW-20260227112118-M181,是否每年对运维制度的执行情况和运维工作开展情况定期进行检查和审计。,XC信息技术风险评估与审计,文件保存,,,,,,,,0.9
REQ-219,,NEW-20260227112118-M182,信息系统运维管理工作审计范围是否至少包括对运维管理制度和操作流程的合理性和完整性进行评估，对运维管理制度和操作流程的执行情况进行评估，对文档、配置、数据的有效性进行评估，对整体安全状况进行评估，对运维人员履职能力进行评估等。,XC信息技术风险评估与审计,建立制度,,,,,,,,0.9
REQ-220,,NEW-20260227112118-M183,是否对审计发现的问题进行整改。,XC信息技术风险评估与审计,建立制度,,,,,,,,0.9
REQ-221,,NEW-20260227112118-M183,是否对审计发现的问题进行整改。,XC信息技术风险评估与审计,文件保存,,,,,,,,0.9
REQ-222,,NEW-20260227112118-M184,应在保证系统运行安全和效率的前提下，启用系统审计或采用第三方安全审计产品，对服务器和重要客户端上的每个操作系统用户进行审计。,XC信息技术风险评估与审计,建立制度,,,,,,,,0.9
REQ-223,,NEW-20260227112118-M185,是否记录并集中分类存储必要的操作日志、系统日志、应用日志、安全日志等，留存日志应满足审计的需要。,XC信息技术风险评估与审计,建立制度,,,,,,,,0.9
REQ-224,,NEW-20260227112118-M185,是否记录并集中分类存储必要的操作日志、系统日志、应用日志、安全日志等，留存日志应满足审计的需要。,XC信息技术风险评估与审计,文件保存,,,,,,,,0.95
REQ-225,,NEW-20260227112118-M186,审计记录是否包含重要的安全相关信息。,XC信息技术风险评估与审计,建立制度,,,,,,,,0.9
REQ-226,,NEW-20260227112119-M187,审计记录是否至少保存6个月。,XC信息技术风险评估与审计,建立制度,,,,,,,,0.9
REQ-227,,NEW-20260227112119-M187,审计记录是否至少保存6个月。,XC信息技术风险评估与审计,文件保存,,,,,,,,0.95
REQ-228,,NEW-20260227112119-M188,是否保护审计记录，避免受到未预期的删除、修改或覆盖等。,XC信息技术风险评估与审计,建立制度,,,,,,,,0.95
REQ-229,,NEW-20260227112119-M189,是否能够根据记录数据进行分析，并生成审计报表。,XC信息技术风险评估与审计,建立制度,,,,,,,,0.85
REQ-230,,NEW-20260227112119-M190,是否制定信息系统备份能力建设工作计划。,XC业务连续性,建立制度,,,,,,,,0.85
REQ-231,,NEW-20260227112119-M191,是否已建立故障备份设施和同城灾备中心（灾备机房），至少可保障核心交易业务系统应用级备份。,XC业务连续性,建立制度,,,,,,,,0.9
REQ-232,,NEW-20260227112119-M192,公司是否根据自身业务性质、规模和复杂程度制定适当的业务连续性计划；业务连续性计划内容是否包括业务应急措施、业务恢复或替代机制、应急联系方式、与客户的沟通方式、与相关单位通报机制、向监管部门报告机制、业务连续性计划披露及更新机制、备份数据恢复机制、备份信息技术系统恢复机制、技术替代方式。,XC业务连续性,建立制度,,,,,,,,0.95
REQ-233,,NEW-20260227112119-M193,公司制订的业务连续性计划是否考虑以下情况，包括但不限于：因自然灾害等原因导致机房不可用、机房电力中断；网络、通信中断或拥堵至不可用；重要业务信息技术系统软硬件故障；重要业务信息数据损毁或遭到破坏；与经营机构建立业务连接的其他机构信息技术系统中断或严重故障；信息技术服务商的重大变更、公司核心信息技术团队发生重大变动等。,XC业务连续性,建立制度,,,,,,,,0.9
REQ-234,,NEW-20260227112119-M194,电力供应是否有优先保证承载核心交易业务系统的关键设备供电的措施。,XC业务连续性,建立制度,,,,,,,,0.85
REQ-235,,NEW-20260227112119-M195,【二类】是否具有双路市电供电，双路供电能实现自动切换，或在单路供电情况下，备用供电措施能提供超过4小时的供电时间。,XC业务连续性,建立制度,,,,,,,,0.9
REQ-236,,NEW-20260227112119-M196,【三类以上（含）】是否采用双路市电，双路市电应能实现自动切换。,XC业务连续性,建立制度,,,,,,,,0.9
REQ-237,,NEW-20260227112119-M197,机房是否配备单独的配电柜。,XC业务连续性,建立制度,,,,,,,,0.8
REQ-238,,NEW-20260227112119-M198,机房是否有独立于一般照明电的专用供配电线路。,XC业务连续性,建立制度,,,,,,,,0.8
REQ-239,,NEW-20260227112119-M199,是否在机房供电线路上配置稳压器和过电压防护设备。,XC业务连续性,建立制度,,,,,,,,0.8
REQ-240,,NEW-20260227112119-M200,【三类以上（含）】机房是否配备双UPS供电。,XC业务连续性,建立制度,,,,,,,,0.9
REQ-241,,NEW-20260227112119-M201,【三类以上（含）】UPS实际供电能力是否能够满足主要设备在断电情况下正常运行2个小时以上。,XC业务连续性,文件保存,,,,,,,,0.9
REQ-242,,NEW-20260227112119-M203,【三类以上（含）】机房是否自备或租用发电机，能够保障持续供电。,XC业务连续性,文件保存,,,,,,,,0.9
REQ-243,,NEW-20260227112119-M204,如有发电机，是否定期对发电机进行开机测试。,XC业务连续性,定期执行,,,,,,,,0.9
REQ-244,,NEW-20260227112119-M204,如有发电机，是否定期对发电机进行开机测试。,XC业务连续性,文件保存,,,,,,,,0.9
REQ-245,,NEW-20260227112119-M205,【三类以上（含）】是否定期进行电力设施实时切换演练。,XC业务连续性,建立制度,,,,,,,,0.95
REQ-246,,NEW-20260227112119-M205,【三类以上（含）】是否定期进行电力设施实时切换演练。,XC业务连续性,定期执行,,,,,,,,0.9
REQ-247,,NEW-20260227112119-M205,【三类以上（含）】是否定期进行电力设施实时切换演练。,XC业务连续性,文件保存,,,,,,,,0.9
REQ-248,,NEW-20260227112119-M211,是否建立供应商列表，定期收集、更新供应商信息。,XC外包管理,定期执行,,,,,,,,0.9
REQ-249,,NEW-20260227112119-M211,是否建立供应商列表，定期收集、更新供应商信息。,XC外包管理,文件保存,,,,,,,,0.9
REQ-250,,NEW-20260227112119-M212,是否组织对供应商的服务质量、合同履行情况、人员工作情况等内容进行评价，形成评价报告，并跟踪和记录供应商改进情况。,XC外包管理,定期执行,,,,,,,,0.9
REQ-251,,NEW-20260227112119-M212,是否组织对供应商的服务质量、合同履行情况、人员工作情况等内容进行评价，形成评价报告，并跟踪和记录供应商改进情况。,XC外包管理,文件保存,,,,,,,,0.9
REQ-252,,NEW-20260227112119-M213,信息技术外包管理制度中是否明确驻场外包人员入场、离场的管理要求。,XC外包管理,建立制度,,,,,,,,0.95
REQ-253,,NEW-20260227112119-M214,是否对驻场外包人员的入场和离场进行管理。,XC外包管理,文件保存,,,,,,,,0.9
REQ-254,,NEW-20260227112119-M216,是否建立软件资产管理制度，或将软件资产纳入本单位资产管理体系，对软件采购、安装、升级等工作流程有严格管理。,XC软件正版化,建立制度,,,,,,,,0.95
REQ-255,,NEW-20260227112119-M217,是否明确部门或责任人，负责本单位软件正版化工作。,XC软件正版化,人员配备,,,,,,,,0.9
REQ-256,,NEW-20260227112119-M219,是否每年对软件正版化情况开展自查。,XC软件正版化,定期执行,,,,,,,,0.9
REQ-257,,NEW-20260227112119-M219,是否每年对软件正版化情况开展自查。,XC软件正版化,文件保存,,,,,,,,0.9
REQ-258,,NEW-20260227112120-M220,是否妥善保存购置合同、软件授权证书或许可协议等核心资料。,XC软件正版化,文件保存,,,,,,,,0.9
REQ-259,,NEW-20260227112120-M221,是否编制软件清单，主要包括软件名称、软件编号、入库时间、软件版本，授权和许可情况、软件序列号、软件状态、软件维护期、软件安装设备、用途和使用责任人等内容，并保留软件启用、转移、升级、报废等过程的记录。,XC软件正版化,文件保存,,,,,,,,0.9
REQ-260,,NEW-20260227112120-M223,是否使用技术软件检测办公电脑软件安装情况。,XC软件正版化,定期执行,,,,,,,,0.9
REQ-261,,NEW-20260227112120-M223,是否使用技术软件检测办公电脑软件安装情况。,XC软件正版化,文件保存,,,,,,,,0.9
REQ-262,,NEW-20260227112120-M224,是否使用正版软件并保存软件授权证书和许可协议。,XC软件正版化,文件保存,,,,,,,,0.9
REQ-263,,NEW-20260227112151-M025,人员离岗是否取回各种身份证件、钥匙、徽章等以及机构提供的软硬件设备。,信息技术治理,文件保存,,,,,,,,0.9
REQ-264,,NEW-20260227112152-M039,机房是否设置火灾自动消防系统，能够自动检测火情、自动报警，并自动灭火；机房的火灾自动消防系统是否向当地公安消防部门备案。,机房管理,文件保存,,,,,,,,0.9
REQ-265,,NEW-20260227112152-M051,机房出入口的监控录像是否保存90天。,机房管理,文件保存,,,,,,,,0.9
REQ-266,,NEW-20260227112152-M052,是否实行外来设备未经批准不得接入生产环境。,机房管理,文件保存,,,,,,,,0.9
REQ-267,,NEW-20260227112152-M053,是否保持机房环境卫生，采取防尘措施，定期进行除尘处理。,机房管理,定期执行,,,,,,,,0.9
REQ-268,,NEW-20260227112152-M053,是否保持机房环境卫生，采取防尘措施，定期进行除尘处理。,机房管理,文件保存,,,,,,,,0.9
REQ-269,,NEW-20260227112152-M054,机房是否设置温、湿度自动调节设施，机房温度是否控制在22℃,机房管理,文件保存,,,,,,,,0.9
REQ-270,,NEW-20260227112152-M055,机房是否设置温、湿度自动调节设施，机房相对湿度是否控制在40%,机房管理,文件保存,,,,,,,,0.9
REQ-271,,NEW-20260227112153-M072,口令是否符合以下条件：数字、字母、符号混排，无规律的方式。,网络管理,建立制度,,,,,,,,0.95
REQ-272,,NEW-20260227112153-M073,管理员用户口令的长度至少为12位。,网络管理,建立制度,,,,,,,,0.95
REQ-273,,NEW-20260227112153-M074,管理员用户口令至少每季度更换1次，更新的口令至少5次内不能重复。,网络管理,建立制度,,,,,,,,0.95
REQ-274,,NEW-20260227112153-M075,如果设备口令长度不支持12位或其他复杂度要求，口令是否使用所支持的最长长度并适当缩小更换周期；也可以使用动态密码卡等一次性口令认证方式。,网络管理,建立制度,,,,,,,,0.95
REQ-275,,NEW-20260227112153-M076,是否绘制与当前运行情况相符的网络拓扑结构图；是否绘制完整的网络拓扑结构图，有相应的网络配置表，包含设备IP地址等主要信息，与当前运行情况相符，并及时更新。,网络管理,文件保存,,,,,,,,0.9
REQ-276,,NEW-20260227112153-M078,是否保证所有与外部系统的连接均得到授权和批准。,网络管理,建立制度,,,,,,,,0.9
REQ-277,,NEW-20260227112153-M078,是否保证所有与外部系统的连接均得到授权和批准。,网络管理,文件保存,,,,,,,,0.9
REQ-278,,NEW-20260227112153-M080,计算机网络跳线是否整齐干净，跳线标识清晰。,网络管理,建立制度,,,,,,,,0.9
REQ-279,,NEW-20260227112154-M086,配置项的添加、修改、替换、删除是否有变更记录。,运维管理,文件保存,,,,,,,,0.9
REQ-280,,NEW-20260227112154-M090,交易业务系统历史数据至少保留一年。,运维管理,文件保存,,,,,,,,0.95
REQ-281,,NEW-20260227112154-M091,在线数据未经授权不得访问、复制。,运维管理,文件保存,,,,,,,,0.9
REQ-282,,NEW-20260227112154-M092,离线数据不得更改。,运维管理,文件保存,,,,,,,,0.9
REQ-283,,NEW-20260227112154-M101,是否及时向投资者说明事件的真实情况，引导投资者采取应急措施，取得投资者的理解与配合，配合媒体的采访报道。,运维管理,建立制度,,,,,,,,0.95
REQ-284,,NEW-20260227112156-M129,口令是否符合以下条件：数字、字母、符号混排，无规律的方式。,信息系统,建立制度,,,,,,,,0.95
REQ-285,,NEW-20260227112156-M130,口令的长度是否至少为12位。,信息系统,建立制度,,,,,,,,0.95
REQ-286,,NEW-20260227112156-M131,口令是否至少每季度更换1次，更新的口令至少5次内不能重复。,信息系统,建立制度,,,,,,,,0.95
REQ-287,,NEW-20260227112156-M132,如果设备口令长度不支持12位或其他复杂度要求，口令是否使用所支持的最长长度并适当缩小更换周期；也可以使用动态密码卡等一次性口令认证方式。,信息系统,建立制度,,,,,,,,0.95
REQ-288,,NEW-20260227112156-M138,操作系统管理员口令是否符合以下条件：数字、字母、符号混排，无规律的方式。,信息系统,建立制度,,,,,,,,0.95
REQ-289,,NEW-20260227112156-M139,操作系统管理员口令的长度是否为12位。,信息系统,建立制度,,,,,,,,0.95
REQ-290,,NEW-20260227112156-M140,操作系统管理员口令是否每季度更换1次，更新的口令至少5次内不能重复。,信息系统,建立制度,,,,,,,,0.95
REQ-291,,NEW-20260227112156-M142,以远程方式登录主机设备，是否采用两种或两种以上组合的鉴别技术进行身份鉴别。,信息系统,建立制度,,,,,,,,0.9
REQ-292,,NEW-20260227112156-M143,是否严格限制默认账户的访问权限，重命名系统默认账户，修改这些账户的默认口令。a)系统无法修改访问权限的特殊默认账户，可不修改访问权限；b)系统无法重命名的特殊默认账户，可不重命名。,信息系统,建立制度,,,,,,,,0.9
REQ-293,,NEW-20260227112156-M150,重要服务器的CPU利用率、内存、磁盘存储空间等指标超过预先规定的阈值后是否实时进行报警。,信息系统,文件保存,,,,,,,,0.9
REQ-294,,NEW-20260227112157-M166,特殊操作、临时操作是否经批准后方可双岗执行。操作过程是否进行记录留痕，记录的保存时间是否不少于一年。,信息系统,建立制度,,,,,,,,0.9
REQ-295,,NEW-20260227112157-M166,特殊操作、临时操作是否经批准后方可双岗执行。操作过程是否进行记录留痕，记录的保存时间是否不少于一年。,信息系统,岗位分离,,,,,,,,0.9
REQ-296,,NEW-20260227112157-M166,特殊操作、临时操作是否经批准后方可双岗执行。操作过程是否进行记录留痕，记录的保存时间是否不少于一年。,信息系统,文件保存,,,,,,,,0.95
REQ-297,,NEW-20260227112157-M173,是否每季度对管理员口令进行修改，更新的管理员口令至少5次内不能重复。,信息系统,建立制度,,,,,,,,0.95
REQ-298,,NEW-20260227112158-M175,用户登录应用系统后在规定的时间内未执行任何操作，是否自动退出系统。,信息系统,建立制度,,,,,,,,0.9
REQ-299,,NEW-20260227112158-M190,受托方是否为机柜提供电子锁或机械锁。受托方可留有备用钥匙以备应急使用，但是否提前获得委托方同意，并记录使用情况。,信息系统托管,建立制度,,,,,,,,0.9
REQ-300,,NEW-20260227112158-M190,受托方是否为机柜提供电子锁或机械锁。受托方可留有备用钥匙以备应急使用，但是否提前获得委托方同意，并记录使用情况。,信息系统托管,文件保存,,,,,,,,0.9
REQ-301,,NEW-20260227112158-M191,受托方是否对机柜所在机房设置视频监控设备，监控范围覆盖机柜操作面、机柜所在机房出入口等关键区域。连续视频监控记录是否保存至少90天。,信息系统托管,文件保存,,,,,,,,0.9
REQ-302,,NEW-20260227112158-M196,受托方是否对机房设置视频监控设备，监控范围覆盖机房区域出入口。连续视频监控记录是否保存至少90天。,信息系统托管,文件保存,,,,,,,,0.9
REQ-303,,NEW-20260227112158-M199,受托方提供的虚拟机平台、存储平台等基础平台的可用性是否不低于99.9%。（本项适用于：三级系统托管）,信息系统托管,文件保存,,,,,,,,0.9
REQ-304,,NEW-20260227112158-M200,受托方提供的虚拟机平台、存储平台等基础平台的可用性是否不低于99.95%。（本项适用于：三+系统托管）,信息系统托管,文件保存,,,,,,,,0.9
REQ-305,,NEW-20260227112159-M206,双方终止合同，受托方是否协助委托方收回所有数据，并保证系统中全部相关数据被删除，并不可恢复。,信息系统托管,文件保存,,,,,,,,0.9
REQ-306,,NEW-20260227112159-M207,受托方提供的应用系统的设计和部署是否满足JR/T0059的要求。（本项适用于：三级、三+系统托管）,信息系统托管,文件保存,,,,,,,,0.9
