ID,审计项ID,审计项标题,程序内容,是否主程序
1,1,是否制定相关的网络安全保障方案。,检查公司是否制定专门的建党100年网络安全保障方案。,是
2,2,是否按照建党100年网络保障要求开展网络安全风险排查。,a)检查公司是否制定建党100年网络保障自查清单。b)查看检查记录，确认公司是否根据清单对网络安全进行排查。,是
617,2,是否按照建党100年网络保障要求开展网络安全风险排查。,检查应急预案评估报告，判断是否根据应急演练的情况进行评估和更新。,否
644,2,是否按照建党100年网络保障要求开展网络安全风险排查。,a)检查“表L.3-电力情况-供电方式（可多选）”，访谈机房管理员，询问机房是否采用了双路市电；b)检查双路市电线路切换记录或供电部门相关协议，查看双路市电是否能够自动切换。,否
3,3,是否对网络安全风险排查所发现的问题进行整改。,检查记录，确认公司是否对建党100年网络保障自查所发现的问题进行整改。,是
4,4,公司是否建立IT治理委员会。,查阅IT治理委员会成立发文。,是
5,5,IT治理委员会是否由公司主要负责人、相关高级管理人员及相关部门负责人组成。,查阅IT治理委员会成立发文。,是
6,6,是否明确公司IT治理委员会工作职责，制定公司IT治理委员会议事规则，IT治理委员会审议内容是否全面。,查阅IT治理委员会成立发文或相关信息科技管理制度，了解IT治理委员职责和议事规则，确认其中是否包含拟订公司IT治理目标和IT治理工作计划，审议公司IT发展规划，审议公司年度IT工作计划和IT预算，审议...,是
7,7,是否定期召开会议决策信息技术治理重大事项,查阅IT治理委员会会议记录。,是
8,8,公司是否设置首席信息官岗位。,查阅公司人员岗位设置情况。,是
9,9,首席信息官是否满足任职资格要求。,查看首席信息官简历，确认首席信息官具有相关学习背景或工作经验。,是
10,10,分管IT的高管人员是否有IT专业背景或工作经验,查阅公司员工名录，取得IT部门及风险管理部门、合规管理部门员工职责分工表及员工简历，确认分管IT的高管人员是否有IT专业背景或工作经验。,是
252,10,分管IT的高管人员是否有IT专业背景或工作经验,检查是否建立备份与恢复管理相关的安全管理制度。,否
268,10,分管IT的高管人员是否有IT专业背景或工作经验,查看防火墙访问控制策略。,否
367,10,分管IT的高管人员是否有IT专业背景或工作经验,测试主要应用系统，可通过对系统进行超过规定的单个帐户的多重并发会话数进行连接，验证系统是否能够正确地限制单个帐户的多重并发会话数。,否
428,10,分管IT的高管人员是否有IT专业背景或工作经验,公司提供一年内发电机开机测试记录，应包括测试时间，测试结果等内容。,否
447,10,分管IT的高管人员是否有IT专业背景或工作经验,上机检查技术检测软件安装情况和检测记录,否
11,11,公司是否设立信息技术内部审计岗，配备专职信息技术审计人员。,查阅公司员工名录，取得公司内部审计部门岗位职责分工表。,是
12,12,信息技术审计人员是否有信息技术相关专业学历或工作经验。,查阅公司员工名录，取得公司内部审计部门岗位职责分工表。,是
13,13,公司是否设立信息技术合规及风险管理部门及岗位。,查阅公司员工名录，取得IT部门及风险管理部门、合规管理部门员工职责分工表及员工简历。,是
14,14,信息技术合规及风险管理岗位人员是否具有信息技术专业背景或相关IT工作经验。,查阅公司员工名录，取得IT部门及风险管理部门、合规管理部门员工职责分工表及员工简历，确认信息技术合规及风险管理岗位人员是否有IT专业背景或工作经验。,是
15,15,是否设立信息安全管理工作的职能部门，设立安全主管、安全管理各个方面的负责人岗位，并定义各负责人的职责。,a)访谈安全主管，询问是否设立信息安全管理工作的职能部门、安全主管、安全管理各个方面的负责人岗位；b)检查岗位职责文档，查看文档是否明确设置安全主管、安全管理各个方面的负责人、各个岗位的职责范围是否清...,是
16,16,机房管理员、网络管理员、系统管理员、数据库管理员、安全管理员等关键岗位是否设置主备岗。,a)检查“表L.1-按岗位人员情况”，检查运维岗位分工及岗位职责说明，机房管理员、网络管理员、系统管理员、数据库管理员、安全管理员等关键岗位是否设置主备岗；b)访谈机房管理员、网络管理员、系统管理员、...,是
17,17,关键岗位是否进行分离，兼岗时是否满足岗位相互制约的要求。,检查运维岗位分工及岗位职责说明，机房管理员、网络管理员、系统管理员、数据库管理员、安全管理员等关键岗位的职责范围是否清晰、明确，有相互制约的要求。,是
18,18,公司是否配备足够的信息技术人员，公司的IT工作人员总数不少于公司员工总人数的6%。,a)检查“表O.1-人员基本情况”、技术部门员工的情况说明，应包括总部技术部门人员名单及占比情况计算；b)检查正式员工花名册及员工人数统计（以与公司签订劳动合同，且具有从业资格为准）；c)检查技术部门...,是
19,19,是否建立信息技术管理制度和操作流程的制定、发布、维护和更新的机制。,检查制度和操作流程维护相关办法，是否有关于制定、发布、维护和更新的规定。,是
20,20,是否至少每年一次评审、修订信息技术管理制度和操作流程。,检查评审、修订信息技术管理制度和操作流程的记录，是否每年对制度和操作流程进行了评审、修订。,是
21,21,是否制定软件开发管理制度。,检查是否有软件开发方面的管理制度。,是
22,22,软件开发管理制度中是否明确软件设计、开发、测试、验收过程的控制方法和人员行为准则。,查看开发管理制度是否明确软件设计、开发、测试、验收过程的控制方法和人员行为准则。,是
246,22,软件开发管理制度中是否明确软件设计、开发、测试、验收过程的控制方法和人员行为准则。,查看开发管理制度是否明确软件设计、开发、测试、验收过程的控制方法和人员行为准则。,否
571,22,软件开发管理制度中是否明确软件设计、开发、测试、验收过程的控制方法和人员行为准则。,抽查修订记录，确认业务或信息系统发生重大变更时，是否对相关系统操作手册及规程进行修订并经过审批。,否
579,22,软件开发管理制度中是否明确软件设计、开发、测试、验收过程的控制方法和人员行为准则。,a)访谈信息技术负责人，询问是否根据系统的安全保护等级选择基本安全措施，并依据风险分析的结果补充和调整安全措施；b)检查基本安全措施相关文档和修订、完善安全策略的记录。,否
586,22,软件开发管理制度中是否明确软件设计、开发、测试、验收过程的控制方法和人员行为准则。,a)检查应用系统的用户角色或权限的分配情况，查看是否仅授予不同帐户为完成各自承担任务所需的最小权限，特权用户的权限是否分离，权限之间是否相互制约，如系统管理员不能进行审计操作、审计员不能进行系统管理操...,否
587,22,软件开发管理制度中是否明确软件设计、开发、测试、验收过程的控制方法和人员行为准则。,a)检查应用系统的用户角色或权限的分配情况，查看是否仅授予不同帐户为完成各自承担任务所需的最小权限，特权用户的权限是否分离，权限之间是否相互制约，如系统管理员不能进行审计操作、审计员不能进行系统管理操...,否
626,22,软件开发管理制度中是否明确软件设计、开发、测试、验收过程的控制方法和人员行为准则。,a)检查是否有信息系统运行维护年度预算计划；b)检查是否有预算审批记录和审计记录。,否
635,22,软件开发管理制度中是否明确软件设计、开发、测试、验收过程的控制方法和人员行为准则。,检查审计记录是否至少保存6个月。,否
23,23,是否建立运维管理制度。,检查运维管理制度。,是
24,24,运维管理制度是否对日常操作、监控管理、事件处理、问题处理、数据和介质管理、机房管理、安全管理、应急处置进行规范。,检查运维管理制度，判断是否对日常操作、监控管理、事件处理、问题处理、数据和介质管理、机房管理、安全管理、应急处置进行规范。,是
25,25,是否建立变更管理制度。,a)文档审阅，是否建立变更管理制度。,是
26,26,变更管理制度是否包含系统发生变更前，向主管领导申请，变更和变更方案经过评审、审批后方可实施变更，并在实施后将变更情况向相关人员通告。,检查变更管理制度，系统发生变更前，是否向主管领导申请； c)变更和变更方案是否经过评审、审批后方可实施变更，并在实施后将变更情况向相关人员通告。,是
27,27,是否建立IT审计制度或在公司审计制度内对IT审计进行要求。,检查IT审计制度或公司审计制度。,是
28,28,是否建立备份与恢复管理相关的安全管理制度。,检查是否建立备份与恢复管理相关的安全管理制度。,是
29,29,备份与恢复管理相关的安全管理制度只是否对备份信息的备份方式、备份频度、存储介质和保存期等进行规范。,检查备份与恢复管理相关的安全管理制度是否对备份信息的备份方式、备份频度、存储介质和保存期等进行规范。,是
253,29,备份与恢复管理相关的安全管理制度只是否对备份信息的备份方式、备份频度、存储介质和保存期等进行规范。,检查备份与恢复管理相关的安全管理制度是否对备份信息的备份方式、备份频度、存储介质和保存期等进行规范。,否
497,29,备份与恢复管理相关的安全管理制度只是否对备份信息的备份方式、备份频度、存储介质和保存期等进行规范。,a)访谈网络管理员安全访问控制策略；b)审阅网络拓扑图，查看防火墙、入侵检测等安全设备的配备情况；c)查看安全设备的接口参数、过滤规则等相关文档资料；d)查看安全测试记录或第三方安全测试报告。,否
620,29,备份与恢复管理相关的安全管理制度只是否对备份信息的备份方式、备份频度、存储介质和保存期等进行规范。,检查关联单位联系表，是否包括单位名称、业务事项、联系人、联系方式、备注等，并及时更新。,否
30,30,是否建立信息安全事件相关管理制度。,检查是否建立信息安全事件相关管理制度。,是
31,31,信息安全事件相关管理制度中是否制定安全事件报告和响应处理程序，确定事件的报告流程，响应和处置的范围、程度，以及处理方法等。,检查信息安全事件相关管理制度是否细化了不同安全事件的处理和报告程序，是否明确具体报告方式、报告内容、报告人等方面内容，造成系统中断和造成信息泄密的重大安全事件是否采用了不同于其他的处理程序和报告程序。,是
255,31,信息安全事件相关管理制度中是否制定安全事件报告和响应处理程序，确定事件的报告流程，响应和处置的范围、程度，以及处理方法等。,检查信息安全事件相关管理制度是否细化了不同安全事件的处理和报告程序，是否明确具体报告方式、报告内容、报告人等方面内容，造成系统中断和造成信息泄密的重大安全事件是否采用了不同于其他的处理程序和报告程序。,否
299,31,信息安全事件相关管理制度中是否制定安全事件报告和响应处理程序，确定事件的报告流程，响应和处置的范围、程度，以及处理方法等。,a)访谈系统管理员，询问是否定期对系统进行漏洞扫描，扫描周期多长； b)检查是否至少每季进行一次漏洞扫描。,否
472,31,信息安全事件相关管理制度中是否制定安全事件报告和响应处理程序，确定事件的报告流程，响应和处置的范围、程度，以及处理方法等。,检查运维值班管理制度，判断是否对日常操作、监控管理、事件处理、问题处理、数据和介质管理、机房管理、安全管理、应急处置进行规范。,否
523,31,信息安全事件相关管理制度中是否制定安全事件报告和响应处理程序，确定事件的报告流程，响应和处置的范围、程度，以及处理方法等。,a)访谈系统管理员，询问是否定期对系统进行漏洞扫描，扫描周期多长，发现漏洞是否及时修补，在安装系统补丁前是否对重要文件进行备份，是否先在测试环境中测试通过再安装；b)检查是否至少每季进行一次漏洞扫描，...,否
32,32,公司是否制定IT合规及风险管理策略和制度。,查阅公司合规及风险管理制度，是否包括IT 相关内容。,是
33,33,是否建立供应商管理制度。,检查供应商管理制度。,是
257,33,是否建立供应商管理制度。,检查供应商管理制度。,否
290,33,是否建立供应商管理制度。,监测是否定时扫描网页、文件、链接，监测网站页面篡改、域名劫持、被插入暗链、跳转代码等安全事件。,否
471,33,是否建立供应商管理制度。,查阅公司正式发文，是否设立机房管理负责人。,否
473,33,是否建立供应商管理制度。,查阅公司正式发文，是否设立机房管理负责人。,否
480,33,是否建立供应商管理制度。,查阅公司正式发文，是否设立机房管理负责人。,否
645,33,是否建立供应商管理制度。,检查机房验收合格证明，是否采用了防静电地板或敷设防静电地板。,否
646,33,是否建立供应商管理制度。,检查机房验收合格证明，是否采用了防静电地板或敷设防静电地板。,否
34,34,是否对年度安全教育和培训进行书面规定，针对运维人员等不同岗位制定不同的培训计划，对信息安全基础知识、岗位操作规程、机房消防及相关应急内容等进行培训，并留存培训记录。,a)检查安全教育和培训计划文档，查看计划是否明确了培训方式、培训对象、培训内容、培训时间和地点等，培训内容是否包含信息安全基础知识、岗位操作规程、机房消防及相关应急内容等；b)检查安全教育和培训记录，...,是
35,35,安全教育培训是否覆盖全体员工。,检查安全教育和培训计划文档，确认安全教育培训是否覆盖全体员工。,是
36,36,安全教育培训是否每年进行一次。,检查安全教育和培训计划文档，确认安全教育培训是否至少每年进行一次。,是
37,37,安全教育培训是否包含网络攻击防范以及员工邮件安全意识教育，提高员工对网络攻击尤其是钓鱼邮件、仿冒邮件的辨识能力。,检查安全教育和培训计划和安全教育和培训记录，查看记录是否有网络攻击防范相关内容，是否有员工邮件安全意识教育相关内容。,是
248,37,安全教育培训是否包含网络攻击防范以及员工邮件安全意识教育，提高员工对网络攻击尤其是钓鱼邮件、仿冒邮件的辨识能力。,检查运维管理制度，判断是否对日常操作、监控管理、事件处理、问题处理、数据和介质管理、机房管理、安全管理、应急处置进行规范。,否
38,38,是否对各个岗位的人员至少每年一次进行安全技能及安全认知的考核。,a)访谈安全主管，询问是否定期对各个岗位人员进行安全技能及安全知识的考核；_x000b_b)检查相关岗位的安全技能和安全认知的考核记录，查验安全技能和安全认知的考核是否至少每年一次。,是
39,39,是否对安全技能及安全认知考核结果进行记录并保存。,a)检查是否对岗位人员的安全技能及安全认知考核结果进行记录；_x000b_b)记录是否得到妥善保存。,是
40,40,安全技能和安全认知考核是否覆盖所有岗位。,检查考核记录，查看考核人员是否包括各个岗位的人员。,是
41,41,安全技能和安全认知考核覆盖内容是否全面。,检查考核记录，查看考核内容是否包含安全知识、安全技能等。,是
231,41,安全技能和安全认知考核覆盖内容是否全面。,查阅IT治理委员会会议记录。,否
256,41,安全技能和安全认知考核覆盖内容是否全面。,查阅公司合规及风险管理制度，是否包括IT 相关内容。,否
264,41,安全技能和安全认知考核覆盖内容是否全面。,检查考核记录，查看考核人员是否包括各个岗位的人员。,否
269,41,安全技能和安全认知考核覆盖内容是否全面。,调阅运维网络远程接入管理相关制度，确认是否建立远程运维网络渠道使用的申请和审批流程，对于远程运维使用白名单方式严格控制。,否
304,41,安全技能和安全认知考核覆盖内容是否全面。,"a)查看防病毒软件策略，确认是否成功部署了定期全面扫描。
b)查看病毒扫描记录，判断是否定期对服务器和终端进行全面病毒扫描。",否
306,41,安全技能和安全认知考核覆盖内容是否全面。,查看安全检查记录，判断全面安全检查是否至少每年一次,否
323,41,安全技能和安全认知考核覆盖内容是否全面。,访谈开发负责人，询问是否为系统测试配备必要的人员和设备资源。,否
438,41,安全技能和安全认知考核覆盖内容是否全面。,查阅公司提供的驻场外包人员的入场和离场记录。,否
42,42,是否对安全责任和惩戒措施进行书面规定并告知相关人员，并对违反违背安全策略和规定的人员进行惩戒。,a)检查安全责任和惩戒措施管理文档，查看是否包含具体的安全责任和惩戒措施；b)检查安全责任惩戒记录，是否对违反安全策略和规定的人员进行惩戒。,是
43,43,是否建立信息系统数据管理制度，对在线和离线数据的使用、备份、存放、保护及恢复验证等活动进行规范。,a）检查是否建立信息系统数据管理制度；b）数据管理制度是否对在线和离线数据的使用、备份、存放、保护及恢复验证等活动进行规范。,是
267,43,是否建立信息系统数据管理制度，对在线和离线数据的使用、备份、存放、保护及恢复验证等活动进行规范。,a）检查是否建立信息系统数据管理制度；b）数据管理制度是否对在线和离线数据的使用、备份、存放、保护及恢复验证等活动进行规范。,否
345,43,是否建立信息系统数据管理制度，对在线和离线数据的使用、备份、存放、保护及恢复验证等活动进行规范。,查看评估记录，是否每日分析核心交易业务系统监控日志及巡检记录，并跟踪处理日志分析中发现的异常事件。,否
479,43,是否建立信息系统数据管理制度，对在线和离线数据的使用、备份、存放、保护及恢复验证等活动进行规范。,检查是否有安全事件报告和处置管理制度，查看其是否细化了不同安全事件的处理和报告程序，是否明确具体报告方式、报告内容、报告人等方面内容，造成系统中断和造成信息泄密的重大安全事件是否采用了不同于其他的处理...,否
486,43,是否建立信息系统数据管理制度，对在线和离线数据的使用、备份、存放、保护及恢复验证等活动进行规范。,a)访谈安全主管，询问是否定期对各个岗位人员进行安全技能及安全知识的考核；b)检查考核记录，查看考核人员是否包括各个岗位的人员，考核内容是否包含安全知识、安全技能等。检查相关岗位的安全技能和安全认知的...,否
488,43,是否建立信息系统数据管理制度，对在线和离线数据的使用、备份、存放、保护及恢复验证等活动进行规范。,a)访谈安全主管，询问是否定期对各个岗位人员进行安全技能及安全知识的考核；b)检查考核记录，查看考核人员是否包括各个岗位的人员，考核内容是否包含安全知识、安全技能等。检查相关岗位的安全技能和安全认知的...,否
491,43,是否建立信息系统数据管理制度，对在线和离线数据的使用、备份、存放、保护及恢复验证等活动进行规范。,a）检查是否建立信息系统数据管理制度；b）数据管理制度是否对在线和离线数据的使用、备份、存放、保护及恢复验证等活动进行规范。,否
569,43,是否建立信息系统数据管理制度，对在线和离线数据的使用、备份、存放、保护及恢复验证等活动进行规范。,查看评估记录，是否每日分析核心交易业务系统监控日志及巡检记录，并跟踪处理日志分析中发现的异常事件。,否
44,44,是否按照最小化原则配置防火墙访问控制策略。,查看防火墙访问控制策略。,是
45,45,应对远程接入内部网络的行为进行严格限制。,调阅运维网络远程接入管理相关制度，确认是否建立远程运维网络渠道使用的申请和审批流程，对于远程运维使用白名单方式严格控制。,是
46,46,是否在网络边界处部署防病毒网关等设备对恶意代码进行检测和清除。,查看网络安全规划文档和访谈网络安全管理员，检查网络边界恶意代码防护策略，检查在网络边界及核心业务网段处是否有相应的防恶意代码措施。,是
47,47,是否定期检查防病毒网关和邮件防病毒网关的恶意代码库的升级情况并进行记录。,a)询问安全管理员，防病毒网关和邮件防病毒网关的恶意代码库的升级机制； b)检查恶意代码库的升级记录，判断是否定期。,是
48,48,是否对截获的危险病毒或恶意代码进行及时分析处理，并形成书面的报表和总结汇报。,检查恶意代码分析报告，确认对防病毒网关和邮件防病毒网关上截获的危险病毒或恶意代码进行了及时分析处理。,是
49,49,是否综合运用入侵检测等安全设备，保护网络与系统；是否正确设置安全设备的接口参数和过滤规则。,a)访谈网络管理员安全访问控制策略；_x000b_b)审阅网络拓扑图，查看入侵检测等安全设备的配备情况；_x000b_c)查看安全设备的接口参数、过滤规则等相关文档资料；_x000b_d)查看安全测试...,是
50,50,是否在网络边界处监视以下攻击行为：端口扫描、强力攻击、木马后门攻击、拒绝服务攻击、缓冲区溢出攻击、IP碎片攻击和网络蠕虫攻击等。,a)检查“表L.3-该机房的网络安全检查情况”、网络入侵防范设备，查看是否能检测以下攻击行为：端口扫描、强力攻击、木马后门攻击、拒绝服务攻击、缓冲区溢出攻击、IP碎片攻击、网络蠕虫攻击等；_x000b...,是
274,50,是否在网络边界处监视以下攻击行为：端口扫描、强力攻击、木马后门攻击、拒绝服务攻击、缓冲区溢出攻击、IP碎片攻击和网络蠕虫攻击等。,a)检查“表L.3-该机房的网络安全检查情况”、网络入侵防范设备，查看是否能检测以下攻击行为：端口扫描、强力攻击、木马后门攻击、拒绝服务攻击、缓冲区溢出攻击、IP碎片攻击、网络蠕虫攻击等；_x000b...,否
321,50,是否在网络边界处监视以下攻击行为：端口扫描、强力攻击、木马后门攻击、拒绝服务攻击、缓冲区溢出攻击、IP碎片攻击和网络蠕虫攻击等。,a)访谈开发负责人，询问是否根据系统上线要求制定测试方案，确定采用的测试方法和测试流程； b)检查是否具有测试方案，是否包括覆盖功能、性能、容量、安全性、稳定性等方面。,否
498,50,是否在网络边界处监视以下攻击行为：端口扫描、强力攻击、木马后门攻击、拒绝服务攻击、缓冲区溢出攻击、IP碎片攻击和网络蠕虫攻击等。,a)检查“表L.3-该机房的网络安全检查情况”、网络入侵防范设备，查看是否能检测以下攻击行为：端口扫描、强力攻击、木马后门攻击、拒绝服务攻击、缓冲区溢出攻击、IP碎片攻击、网络蠕虫攻击等；b)检查入侵...,否
51,51,当检测到攻击行为时，是否记录攻击源IP、攻击类型、攻击目的、攻击时间，在发生严重入侵事件时是否提供报警。,检查网络入侵防范设备的入侵报警记录，查看记录中是否包括入侵的源IP、攻击的类型、攻击的目的、攻击的时间等。,是
239,51,当检测到攻击行为时，是否记录攻击源IP、攻击类型、攻击目的、攻击时间，在发生严重入侵事件时是否提供报警。,a)访谈安全主管，询问是否设立信息安全管理工作的职能部门、安全主管、安全管理各个方面的负责人岗位；b)检查岗位职责文档，查看文档是否明确设置安全主管、安全管理各个方面的负责人、各个岗位的职责范围是否清...,否
275,51,当检测到攻击行为时，是否记录攻击源IP、攻击类型、攻击目的、攻击时间，在发生严重入侵事件时是否提供报警。,检查网络入侵防范设备的入侵报警记录，查看记录中是否包括入侵的源IP、攻击的类型、攻击的目的、攻击的时间等。,否
463,51,当检测到攻击行为时，是否记录攻击源IP、攻击类型、攻击目的、攻击时间，在发生严重入侵事件时是否提供报警。,a)访谈安全主管，询问是否设立信息安全管理工作的职能部门、安全主管、安全管理各个方面的负责人岗位；b)检查岗位职责文档，查看文档是否明确设置安全主管、安全管理各个方面的负责人、各个岗位的职责范围是否清...,否
476,51,当检测到攻击行为时，是否记录攻击源IP、攻击类型、攻击目的、攻击时间，在发生严重入侵事件时是否提供报警。,检查是否建立备份与恢复管理相关的安全管理制度，对备份信息的备份方式、备份频度、存储介质和保存期等进行规范。,否
477,51,当检测到攻击行为时，是否记录攻击源IP、攻击类型、攻击目的、攻击时间，在发生严重入侵事件时是否提供报警。,检查是否建立备份与恢复管理相关的安全管理制度，对备份信息的备份方式、备份频度、存储介质和保存期等进行规范。,否
499,51,当检测到攻击行为时，是否记录攻击源IP、攻击类型、攻击目的、攻击时间，在发生严重入侵事件时是否提供报警。,检查网络入侵防范设备的入侵报警记录，查看记录中是否包括入侵的源IP、攻击的类型、攻击的目的、攻击的时间等。,否
581,51,当检测到攻击行为时，是否记录攻击源IP、攻击类型、攻击目的、攻击时间，在发生严重入侵事件时是否提供报警。,a)检查主要应用系统，查看审计范围是否覆盖到每个用户，审计策略是否覆盖系统内重要的安全相关事件，例如，用户标识与鉴别、访问控制的所有操作记录、重要用户行为、系统资源的异常使用、重要系统命令的使用等；b...,否
629,51,当检测到攻击行为时，是否记录攻击源IP、攻击类型、攻击目的、攻击时间，在发生严重入侵事件时是否提供报警。,a)检查是否有与IT检查审计相关的管理制度，查看其是否要求对IT运维制度的执行情况和运维工作开展情况定期进行检查和审计；b)检查审计期内的IT检查和审计记录，是否每年至少每年进行一次IT 运维审计。,否
649,51,当检测到攻击行为时，是否记录攻击源IP、攻击类型、攻击目的、攻击时间，在发生严重入侵事件时是否提供报警。,a)检查“表L.3-UPS”，现场检查UPS实际供电能力是否能够满足主要设备在断电情况下正常运行2个小时以上；b)检查UPS设备运行记录、定期检查和维护记录。,否
52,52,是否使用堡垒机对操作系统、数据库、网络设备进行管控。,检查是否使用堡垒机。,是
53,53,操作系统、数据库、网络设备、堡垒机应设置密码安全策略。,调阅操作系统、数据库、网络设备、堡垒机用户管理或访问控制相关制度，明确是否对密码最小长度、密码复杂度、历史密码进行要求。,是
54,54,应建立用户认证和访问控制流程。,调阅操作系统、数据库、堡垒机用户管理或访问控制相关制度，明确是否制定了用户权限申请、审批、更新、注销流程。,是
55,55,是否建立补丁管理流程，持续跟踪厂商提供的系统升级更新情况，在经过充分的测试评估后对必要的系统补丁进行及时更新。,调阅相关制度，确认是否建立补丁管理流程。,是
56,56,是否通过设置升级服务器等方式保持系统补丁及时得到更新。,查看是否设置升级服务器。,是
57,57,在安装系统补丁前是否对重要文件进行备份，在测试环境中测试通过再安装。,检查按照补丁前是否对重要文件进行备份，在测试环境中测试。,是
58,58,是否对所有服务器安装防木马、病毒等防恶意代码软件，定期进行全面检查，并及时更新防恶意代码软件版本和恶意代码库。a)原则上所有主机应安装防恶意代码软件，系统不支持该要求的除外；b)未安装防恶意代码软件的主机，应采取有效措施进行恶意代码防范。,查看“表L.3-该机房的病毒木马防护软件情况”，检查关键服务器的恶意代码防范策略，对支持安装防恶意代码软件的主机操作系统，查看是否安装了实时检测与查杀恶意代码的软件产品，并且及时更新了软件版本和恶意代...,是
