ID,审计项ID,审计项标题,程序内容,是否主程序
342,118,是否建立辅助的人工巡检流程，规定巡检内容、频度、人员等。巡检内容应覆盖电力、空调、消防、安防等机房设施，主机、网络、通信、安全等设备的运行状况。巡检结果应及时记录，如遇异常应及时处理，并按规定要求进行报告。,检查IT运维管理相关管理制度或工作手册，查看是否包括人工巡检方面的内容，是否明确巡检内容、频度、人员、报告等要求，巡检内容是否覆盖巡检内容应覆盖电力、空调、消防、安防等机房设施，主机、网络、通信、安全...,否
566,118,是否建立辅助的人工巡检流程，规定巡检内容、频度、人员等。巡检内容应覆盖电力、空调、消防、安防等机房设施，主机、网络、通信、安全等设备的运行状况。巡检结果应及时记录，如遇异常应及时处理，并按规定要求进行报告。,检查IT运维管理方面的制度，查看制度中是否包括人工巡检方面的内容，是否明确巡检内容、频度、人员、报告等要求，巡检内容是否覆盖审计项中列示的内容。,否
630,118,是否建立辅助的人工巡检流程，规定巡检内容、频度、人员等。巡检内容应覆盖电力、空调、消防、安防等机房设施，主机、网络、通信、安全等设备的运行状况。巡检结果应及时记录，如遇异常应及时处理，并按规定要求进行报告。,检查信息系统运维管理工作审计报告，确定信息系统运维管理工作审计范围至少包括对运维管理制度和操作流程的合理性和完整性进行评估，对运维管理制度和操作流程的执行情况进行评估，对文档、配置、数据的有效性进行评...,否
119,119,是否指定运维值班负责人。运维值班负责人负责日常操作的部署、检查、风险控制、业务衔接等工作。,a)查阅运维值班负责人及备岗人员名单；b)访谈运维值班负责人及备岗人员，询问是否知悉其职责范围包括：日常操作的部署、检查、风险控制、业务衔接等工作。,是
120,120,运维值班负责人是否有备岗，主备岗是否不得同时离岗。,查看运维值班负责人及备岗人员值班记录，判断是否没有同时离岗。,是
121,121,是否每日分析核心交易业务系统监控日志及巡检记录，形成评估记录，跟踪处理日志分析中发现的异常事件。,查看评估记录，是否每日分析核心交易业务系统监控日志及巡检记录，并跟踪处理日志分析中发现的异常事件。,是
122,122,是否建立变更管理流程，对重要变更、一般变更、紧急变更进行定义，并建立不同的管理流程。,查看变更管理制度，确认其中是否对重要变更、一般变更、紧急变更进行了定义，并建立了不同的申请、审批流程。,是
123,123,是否明确信息技术部门、风控、合规及相关业务部门角色在变更管理中的审核责任，进行事前审查、事中确认及事后跟踪。,根据公司提供的核心业务系统变更清单，抽查变更评审记录，确认变更前经信息技术部门、风控合规部门、业务部门审批。,是
124,124,变更后是否经业务部门确认。,根据公司提供的核心业务系统变更清单，抽查变更评审记录，确认变更后，业务部门进行了确认。,是
125,125,是否利用软件工具或管理平台记录重要变更操作，并实时存档和备份功能。,抽查核心业务系统变更的历史记录。,是
126,126,是否在设备和软件投入使用前进行必要的验证性测试，并保留测试记录。,查看测试记录，是否在设备和软件投入使用前进行必要的验证性测试。,是
127,127,是否禁止在交易时段对交易业务网的网络设备、安全设备、系统设备进行更换或变更配置。,a)查看机房管理制度或变更管理制度，是否规定了原则上禁止交易时段对交易业务网的网络设备、安全设备、系统设备进行更换或变更配置； b)抽查变更记录，是否做到原则上不在交易时段对交易业务网的网络设备、安全...,是
128,128,邮件系统是否设置密码策略。,检查邮件系统，确认是否设置密码策略，包括密码复杂度、密码有效期等。,是
129,129,是否对批量下载邮件、异常时段登陆的行为进行监控。,检查是否有人员对批量下载邮件、异常时段登陆的行为进行监控。,是
130,130,网上交易客户端是否提供可靠的身份认证机制，支持多种方式与服务端完成身份认证。,a)检查供网上交易系统的身份认证说明；_x000b_b)检查网上交易系统是否支持多种身份认证方式；_x000b_c)访谈网上交易系统的身份验证方式和措施。,是
272,130,网上交易客户端是否提供可靠的身份认证机制，支持多种方式与服务端完成身份认证。,检查恶意代码分析报告，确认对防病毒网关和邮件防病毒网关上截获的危险病毒或恶意代码进行了及时分析处理。,否
354,130,网上交易客户端是否提供可靠的身份认证机制，支持多种方式与服务端完成身份认证。,a)检查供网上交易系统的身份认证说明；_x000b_b)检查网上交易系统是否支持多种身份认证方式；_x000b_c)访谈网上交易系统的身份验证方式和措施。,否
131,131,客户进行资金交易时，根据客户意愿，可采取认证强度与交易额度相匹配的技术措施，提高交易的安全性。,APP、系统,是
230,131,客户进行资金交易时，根据客户意愿，可采取认证强度与交易额度相匹配的技术措施，提高交易的安全性。,查阅IT治理委员会成立发文或相关信息科技管理制度，了解IT治理委员职责和议事规则，确认其中是否包含拟订公司IT治理目标和IT治理工作计划，审议公司IT发展规划，审议公司年度IT工作计划和IT预算，审议...,否
266,131,客户进行资金交易时，根据客户意愿，可采取认证强度与交易额度相匹配的技术措施，提高交易的安全性。,a)检查安全责任和惩戒措施管理文档，查看是否包含具体的安全责任和惩戒措施；b)检查安全责任惩戒记录，是否对违反安全策略和规定的人员进行惩戒。,否
355,131,客户进行资金交易时，根据客户意愿，可采取认证强度与交易额度相匹配的技术措施，提高交易的安全性。,APP、系统,否
399,131,客户进行资金交易时，根据客户意愿，可采取认证强度与交易额度相匹配的技术措施，提高交易的安全性。,检查信息技术风险评估报告审批流转流程,否
490,131,客户进行资金交易时，根据客户意愿，可采取认证强度与交易额度相匹配的技术措施，提高交易的安全性。,a)检查安全责任和惩戒措施管理文档，查看是否包含具体的安全责任和惩戒措施；b)检查安全责任惩戒记录，是否对违反安全策略和规定的人员进行惩戒。,否
601,131,客户进行资金交易时，根据客户意愿，可采取认证强度与交易额度相匹配的技术措施，提高交易的安全性。,a)检查安全责任和惩戒措施管理文档，查看是否包含具体的安全责任和惩戒措施；b)检查安全责任惩戒记录，是否对违反安全策略和规定的人员进行惩戒。,否
628,131,客户进行资金交易时，根据客户意愿，可采取认证强度与交易额度相匹配的技术措施，提高交易的安全性。,检查事件处置报告，判断发生网络与信息安全事件后，是否立即启动应急预案，迅速采取应急措施，尽快恢复信息系统正常运行。,否
132,132,在交易环节，依据对用户IP、个人终端IMME等标识信息采取异常行为监控措施防范盗买盗卖。,APP、系统,是
242,132,在交易环节，依据对用户IP、个人终端IMME等标识信息采取异常行为监控措施防范盗买盗卖。,a)检查“表O.1-人员基本情况”、技术部门员工的情况说明，应包括总部技术部门人员名单及占比情况计算；b)检查正式员工花名册及员工人数统计（以与公司签订劳动合同，且具有从业资格为准）；c)检查技术部门...,否
133,133,应具有防网络钓鱼的功能，例如，显示客户预留信息、使用预留信息卡、客户自定义个性化界面等。,APP、系统,是
398,133,应具有防网络钓鱼的功能，例如，显示客户预留信息、使用预留信息卡、客户自定义个性化界面等。,查看信息技术风险评估报告,否
415,133,应具有防网络钓鱼的功能，例如，显示客户预留信息、使用预留信息卡、客户自定义个性化界面等。,"1.约谈机房负责人有关故障备份设施和同城灾备中心（灾备机房）和异地灾备中心的建设情况；
2.查阅机房部署图和逻辑图。
3.确认同城灾备能力达到1:1",否
134,134,对于客户账号、手机号码、证件类识别标识或其他识别标识信息等可以直接或组合后确定个人金融信息主体的信息应进行屏蔽展示，或由用户选择是否屏蔽展示，如需完整展示，应进行用户身份验证，并做好此类信息管理，防范此类信息泄露风险。,APP、系统,是
358,134,对于客户账号、手机号码、证件类识别标识或其他识别标识信息等可以直接或组合后确定个人金融信息主体的信息应进行屏蔽展示，或由用户选择是否屏蔽展示，如需完整展示，应进行用户身份验证，并做好此类信息管理，防范此类信息泄露风险。,APP、系统,否
135,135,三级系统是否至少每年对系统进行一次等级测评，发现不符合相应等级保护标准要求的及时整改。,a)检查等级测评报告，检查是否每年对三级系统进行测评；b)检查测评报告是否覆盖所有三级系统；c)检查整改报告，对发现的问题是否及时整改。,是
136,136,是否在系统发生变更时及时对系统进行等级测评，发现级别发生变化的及时调整级别并进行安全改造，发现不符合相应等级保护标准要求的及时整改。,a)检查系统变更记录，了解系统是否发生重大变更；b)检查系统评测记录，如果系统发生重大变更是否及时对系统进行登记测评；c)检查安全整改报告，发现级别发生变化的，是否及时调整级别并进行安全改造，发现不符...,是
250,136,是否在系统发生变更时及时对系统进行等级测评，发现级别发生变化的及时调整级别并进行安全改造，发现不符合相应等级保护标准要求的及时整改。,检查变更管理制度，系统发生变更前，是否向主管领导申请； c)变更和变更方案是否经过评审、审批后方可实施变更，并在实施后将变更情况向相关人员通告。,否
360,136,是否在系统发生变更时及时对系统进行等级测评，发现级别发生变化的及时调整级别并进行安全改造，发现不符合相应等级保护标准要求的及时整改。,a)检查系统变更记录，了解系统是否发生重大变更；b)检查系统评测记录，如果系统发生重大变更是否及时对系统进行登记测评；c)检查安全整改报告，发现级别发生变化的，是否及时调整级别并进行安全改造，发现不符...,否
474,136,是否在系统发生变更时及时对系统进行等级测评，发现级别发生变化的及时调整级别并进行安全改造，发现不符合相应等级保护标准要求的及时整改。,a)文档审阅，是否建立变更管理制度；b)系统发生变更前，是否向主管领导申请；c)变更和变更方案是否经过评审、审批后方可实施变更，并在实施后将变更情况向相关人员通告。,否
503,136,是否在系统发生变更时及时对系统进行等级测评，发现级别发生变化的及时调整级别并进行安全改造，发现不符合相应等级保护标准要求的及时整改。,a)访谈系统管理员，了解系统补丁更新程序和评估方法；b)查看系统补丁更新记录，确认持续跟踪厂商提供的系统升级更新情况，确认在对重要文件进行备份后，才实施系统补丁程序的安装。,否
505,136,是否在系统发生变更时及时对系统进行等级测评，发现级别发生变化的及时调整级别并进行安全改造，发现不符合相应等级保护标准要求的及时整改。,a)访谈系统管理员，了解系统补丁更新程序和评估方法；b)查看系统补丁更新记录，确认持续跟踪厂商提供的系统升级更新情况，确认在对重要文件进行备份后，才实施系统补丁程序的安装。,否
584,136,是否在系统发生变更时及时对系统进行等级测评，发现级别发生变化的及时调整级别并进行安全改造，发现不符合相应等级保护标准要求的及时整改。,a)检查系统变更记录，了解系统是否发生重大变更；b)检查系统评测记录，如果系统发生重大变更是否及时对系统进行登记测评；c)检查安全整改报告，发现级别发生变化的，是否及时调整级别并进行安全改造，发现不符...,否
137,137,是否组织相关部门和有关安全技术专家对信息系统定级结果的合理性和正确性进行论证和审定。,检查会议纪要或者论证报告等文档，是否组织有关部门及技术专家对信息系统定级结果的合理性和正确性进行论证和审定。,是
138,138,是否授予不同账户为完成各自承担任务所需的最小权限。,检查应用系统的用户角色或权限的分配情况，查看是否仅授予不同帐户为完成各自承担任务所需的最小权限。,是
139,139,不同账户是否形成相互制约的关系。,检查应用系统的用户角色或权限的分配情况，查看权限之间是否相互制约，如系统管理员不能进行审计操作、审计员不能进行系统管理操作等。,是
225,139,不同账户是否形成相互制约的关系。,检查公司是否制定专门的建党100年网络安全保障方案。,否
233,139,不同账户是否形成相互制约的关系。,查看首席信息官简历，确认首席信息官具有相关学习背景或工作经验。,否
286,139,不同账户是否形成相互制约的关系。,检查确认配置LED屏幕播放内容监控设备,否
307,139,不同账户是否形成相互制约的关系。,查看安全检查记录,否
363,139,不同账户是否形成相互制约的关系。,检查应用系统的用户角色或权限的分配情况，查看权限之间是否相互制约，如系统管理员不能进行审计操作、审计员不能进行系统管理操作等。,否
397,139,不同账户是否形成相互制约的关系。,检查演练整改报告，是否对演练中发现的问题进行改进。,否
451,139,不同账户是否形成相互制约的关系。,检查演练整改报告，是否对演练中发现的问题进行改进。,否
511,139,不同账户是否形成相互制约的关系。,检查演练整改报告，是否对演练中发现的问题进行改进。,否
539,139,不同账户是否形成相互制约的关系。,检查演练整改报告，是否对演练中发现的问题进行改进。,否
577,139,不同账户是否形成相互制约的关系。,检查演练整改报告，是否对演练中发现的问题进行改进。,否
621,139,不同账户是否形成相互制约的关系。,检查演练整改报告，是否对演练中发现的问题进行改进。,否
627,139,不同账户是否形成相互制约的关系。,检查演练整改报告，是否对演练中发现的问题进行改进。,否
631,139,不同账户是否形成相互制约的关系。,检查演练整改报告，是否对演练中发现的问题进行改进。,否
140,140,是否存在共用账号。,检查应用系统的用户角色或权限，访谈了解账号的使用人员，检查是否存在多人共用同一账号的情况。,是
364,140,是否存在共用账号。,检查应用系统的用户角色或权限，访谈了解账号的使用人员，检查是否存在多人共用同一账号的情况。,否
670,140,是否存在共用账号。,检查“表L.9-软件正版化情况-杀毒软件”，查看使用的杀毒软件版本，并检查在使用杀毒软件是否有授权文件。,否
141,141,是否中止离职人员访问权限。,调阅在职员工人员名单，检查应用系统用户列表，确认系统用户在在职人员名单中。,是
142,142,是否建立信息系统用户认证和访问控制流程。,调阅应用系统用户管理或访问控制相关制度，明确是否制定了用户权限申请、审批、更新、注销流程。,是
143,143,是否能够对单个账户的多重并发会话进行限制。,测试主要应用系统，可通过对系统进行超过规定的单个帐户的多重并发会话数进行连接，验证系统是否能够正确地限制单个帐户的多重并发会话数。,是
144,144,是否能够对一个时间段内可能的并发会话连接数进行限制。,检查主要应用系统的配置参数，查看是否提供对最大并发会话连接数进行限制。,是
145,145,是否能够对一个访问账户或一个请求进程占用的资源分配最大限额和最小限额。,检查主要应用系统设计和验收文档，查看是否对一个访问帐户或一个请求进程占用的资源分配最大限额和最小限额。,是
146,146,公司核心业务系统备份是否符合《证券期货经营机构信息系统备份能力标准规范》的相关要求。,查阅公司核心业务系统故障应对能力达标证明材料（包括：备份系统建设情况、备份策略、应急演练记录等），确认集中交易系统（含第三方存管）、融资融券系统、网上交易系统、电话委托系统、移动证券系统等核心业务系统...,是
147,147,是否至少每季度对核心交易业务系统的备份数据进行一次有效性验证，如发现问题是否采取措施修复备份数据，并查明原因。,检查是否至少每季度对核心交易业务系统的备份数据进行一次有效性验证，如发现问题是否采取措施修复备份数据，并查明原因。,是
279,147,是否至少每季度对核心交易业务系统的备份数据进行一次有效性验证，如发现问题是否采取措施修复备份数据，并查明原因。,调阅相关制度，确认是否建立补丁管理流程。,否
371,147,是否至少每季度对核心交易业务系统的备份数据进行一次有效性验证，如发现问题是否采取措施修复备份数据，并查明原因。,检查是否至少每季度对核心交易业务系统的备份数据进行一次有效性验证，如发现问题是否采取措施修复备份数据，并查明原因。,否
404,147,是否至少每季度对核心交易业务系统的备份数据进行一次有效性验证，如发现问题是否采取措施修复备份数据，并查明原因。,查阅公司内部专项审计报告、审批、流转流程，确认是否对重大信息安全事件开展专项审计。,否
540,147,是否至少每季度对核心交易业务系统的备份数据进行一次有效性验证，如发现问题是否采取措施修复备份数据，并查明原因。,a)查看“表L.7-本年度开展安全建设整改的信息系统情况-是否组织开展信息系统安全自查工作”，二级信息系统本年度是否开展自查工作；b)检查二级信息系统的自查报告，是否每年开展一次自查；c)检查二级信息...,否
594,147,是否至少每季度对核心交易业务系统的备份数据进行一次有效性验证，如发现问题是否采取措施修复备份数据，并查明原因。,a)查看“表L.7-本年度开展安全建设整改的信息系统情况-是否组织开展信息系统安全自查工作”，二级信息系统本年度是否开展自查工作；b)检查二级信息系统的自查报告，是否每年开展一次自查；c)检查二级信息...,否
595,147,是否至少每季度对核心交易业务系统的备份数据进行一次有效性验证，如发现问题是否采取措施修复备份数据，并查明原因。,检查“表L.4-数据备份情况”、“表L.5-数据备份情况”，查看是否至少每季度对核心交易业务系统的备份数据进行一次有效性验证，如发现问题是否采取措施修复备份数据，并查明原因。,否
148,148,是否对网络安全事件进行记录。,检查安全事件处理记录，查看其是否对网络安全事件进行记录，记录内容包括安全事件的原因、事件处理过程等。,是
232,148,是否对网络安全事件进行记录。,查阅公司人员岗位设置情况。,否
315,148,是否对网络安全事件进行记录。,查看安全检查记录,否
372,148,是否对网络安全事件进行记录。,检查安全事件处理记录，查看其是否对网络安全事件进行记录，记录内容包括安全事件的原因、事件处理过程等。,否
411,148,是否对网络安全事件进行记录。,检查审计记录是否至少保存6个月。,否
572,148,是否对网络安全事件进行记录。,检查外包服务的评估报告，确认定期对外包的服务质量进行了评估。,否
588,148,是否对网络安全事件进行记录。,检查在岗人员名单和账户列表，确定没有未注销的不再使用的账户。,否
589,148,是否对网络安全事件进行记录。,检查在岗人员名单和账户列表，确定没有未注销的不再使用的账户。,否
650,148,是否对网络安全事件进行记录。,a)获取主要设备清单列表；b)现场检查主要设备等是否放置在机房内。,否
149,149,是否在安全事件报告和响应处理过程中，分析和鉴定事件产生的原因，收集证据，记录处理过程，总结经验教训，制定防止再次发生的补救措施。,检查安全事件处理记录，查看其是否记录引发安全事件的原因，是否记录事件处理过程，是否与管理规定的处理要求一致等。,是
295,149,是否在安全事件报告和响应处理过程中，分析和鉴定事件产生的原因，收集证据，记录处理过程，总结经验教训，制定防止再次发生的补救措施。,访谈安全管理员，在线数据和离线数据用于非生产环境时，是否进行脱敏处理；用于模拟测试时如无法进行脱敏处理，测试环境的与生产环境安全措施是否相当。,否
373,149,是否在安全事件报告和响应处理过程中，分析和鉴定事件产生的原因，收集证据，记录处理过程，总结经验教训，制定防止再次发生的补救措施。,检查安全事件处理记录，查看其是否记录引发安全事件的原因，是否记录事件处理过程，是否与管理规定的处理要求一致等。,否
519,149,是否在安全事件报告和响应处理过程中，分析和鉴定事件产生的原因，收集证据，记录处理过程，总结经验教训，制定防止再次发生的补救措施。,访谈安全管理员，在线数据和离线数据用于非生产环境时，是否进行脱敏处理；用于模拟测试时如无法进行脱敏处理，测试环境的与生产环境安全措施是否相当。,否
597,149,是否在安全事件报告和响应处理过程中，分析和鉴定事件产生的原因，收集证据，记录处理过程，总结经验教训，制定防止再次发生的补救措施。,检查安全事件处理记录，查看其是否记录引发安全事件的原因，是否记录事件处理过程，是否与管理规定的处理要求一致等。,否
150,150,合规部门、风险管理部门或岗位是否参与信息技术安全事故处理工作。,抽查检查期间公司信息安全事件处理流程及相关审批文件，检查合规部门、风险管理部门是否参与相关工作。,是
151,151,是否在网络与信息安全事件发生后，按有关规定报告事件情况，并保持持续报告，直至系统恢复正常运行，报告要素应完备、及时、准确，不得迟报、漏报、谎报或瞒报。,a)审阅应急预案，是否规定在网络与信息安全事件发生后，报告要素有哪些，如何报告事件情况，并保持持续报告，直至系统恢复正常运行；_x000b_b)检查事件报告记录，判断是否及时、准确，没有迟报、漏报、谎...,是
375,151,是否在网络与信息安全事件发生后，按有关规定报告事件情况，并保持持续报告，直至系统恢复正常运行，报告要素应完备、及时、准确，不得迟报、漏报、谎报或瞒报。,a)审阅应急预案，是否规定在网络与信息安全事件发生后，报告要素有哪些，如何报告事件情况，并保持持续报告，直至系统恢复正常运行；_x000b_b)检查事件报告记录，判断是否及时、准确，没有迟报、漏报、谎...,否
452,151,是否在网络与信息安全事件发生后，按有关规定报告事件情况，并保持持续报告，直至系统恢复正常运行，报告要素应完备、及时、准确，不得迟报、漏报、谎报或瞒报。,查阅IT治理委员会、网络安全委员会或领导小组成立发文和成员名单。,否
453,151,是否在网络与信息安全事件发生后，按有关规定报告事件情况，并保持持续报告，直至系统恢复正常运行，报告要素应完备、及时、准确，不得迟报、漏报、谎报或瞒报。,查阅IT治理委员会、网络安全委员会或领导小组成立发文和成员名单。,否
454,151,是否在网络与信息安全事件发生后，按有关规定报告事件情况，并保持持续报告，直至系统恢复正常运行，报告要素应完备、及时、准确，不得迟报、漏报、谎报或瞒报。,查阅IT治理委员会、网络安全委员会或领导小组成立发文和成员名单。,否
599,151,是否在网络与信息安全事件发生后，按有关规定报告事件情况，并保持持续报告，直至系统恢复正常运行，报告要素应完备、及时、准确，不得迟报、漏报、谎报或瞒报。,a)审阅应急预案，是否规定在网络与信息安全事件发生后，报告要素有哪些，如何报告事件情况，并保持持续报告，直至系统恢复正常运行；b)检查事件报告记录，判断要素是否完备、及时、准确，没有迟报、漏报、谎报或...,否
618,151,是否在网络与信息安全事件发生后，按有关规定报告事件情况，并保持持续报告，直至系统恢复正常运行，报告要素应完备、及时、准确，不得迟报、漏报、谎报或瞒报。,检查应急演练计划，是否至少包括目的、内容、时间、参与方、方式、前期准备情况、统计与记录要求、系统恢复与验证要求等内容。,否
152,152,接到中国证监会及其派出机构关于系统漏洞、安全隐患、产品缺陷的信息安全通报书后，是否立即核实情况，采取必要的处置措施，并根据要求进行事件总结报告。事件总结报告内容应当包括：事件基本情况，可能或者已经造成的影响范围和后果，已采取的防范措施及相关建议。,a)检查监管部门信息安全通报记录，对系统漏洞、安全隐患、产品缺陷等，是否立即核实情况，采取必要的处置措施； b)检查信息安全通报事件总结报告，内容是否包括：事件基本情况，可能或者已经造成的影响范围和后...,是
376,152,接到中国证监会及其派出机构关于系统漏洞、安全隐患、产品缺陷的信息安全通报书后，是否立即核实情况，采取必要的处置措施，并根据要求进行事件总结报告。事件总结报告内容应当包括：事件基本情况，可能或者已经造成的影响范围和后果，已采取的防范措施及相关建议。,a)检查监管部门信息安全通报记录，对系统漏洞、安全隐患、产品缺陷等，是否立即核实情况，采取必要的处置措施； b)检查信息安全通报事件总结报告，内容是否包括：事件基本情况，可能或者已经造成的影响范围和后...,否
506,152,接到中国证监会及其派出机构关于系统漏洞、安全隐患、产品缺陷的信息安全通报书后，是否立即核实情况，采取必要的处置措施，并根据要求进行事件总结报告。事件总结报告内容应当包括：事件基本情况，可能或者已经造成的影响范围和后果，已采取的防范措施及相关建议。,查看“表L.3-该机房的病毒木马防护软件情况”，检查关键服务器的恶意代码防范策略，对支持安装防恶意代码软件的主机操作系统，查看是否安装了实时检测与查杀恶意代码的软件产品，并且及时更新了软件版本和恶意代...,否
600,152,接到中国证监会及其派出机构关于系统漏洞、安全隐患、产品缺陷的信息安全通报书后，是否立即核实情况，采取必要的处置措施，并根据要求进行事件总结报告。事件总结报告内容应当包括：事件基本情况，可能或者已经造成的影响范围和后果，已采取的防范措施及相关建议。,a)检查监管部门信息安全通报记录，对系统漏洞、安全隐患、产品缺陷等，是否立即核实情况，采取必要的处置措施；b)检查信息安全通报事件总结报告，内容是否包括：事件基本情况，可能或者已经造成的影响范围和后果...,否
669,152,接到中国证监会及其派出机构关于系统漏洞、安全隐患、产品缺陷的信息安全通报书后，是否立即核实情况，采取必要的处置措施，并根据要求进行事件总结报告。事件总结报告内容应当包括：事件基本情况，可能或者已经造成的影响范围和后果，已采取的防范措施及相关建议。,a)检查软件授权证书和许可协议；b)检查软件清单，是否包括软件名称、软件编号、入库时间、软件版本，授权和许可情况、软件序列号、软件状态、软件维护期、软件安装设备、用途和使用责任人等内容，并保留软件启用...,否
153,153,是否对安全责任和惩戒措施进行书面规定并告知相关人员。,检查安全责任和惩戒措施管理文档，查看是否包含具体的安全责任和惩戒措施，,是
154,154,是否按照安全责任和惩戒措施规定对违反违背安全策略和规定的人员进行惩戒。,检查安全责任惩戒记录，是否对违反安全策略和规定的人员进行惩戒。,是
