ID,审计项ID,审计项标题,程序内容,是否主程序
324,154,是否按照安全责任和惩戒措施规定对违反违背安全策略和规定的人员进行惩戒。,a)访谈开发负责人，询问涉及核心交易业务系统的上线测试，是否组织全市场或全公司各相关部门测试； b)抽查核心系统上线测试方案、测试记录，是否体现参测机构及部门。,否
335,154,是否按照安全责任和惩戒措施规定对违反违背安全策略和规定的人员进行惩戒。,检查配置库文档，配置项属性是否至少包括编号、名称、描述、维护责任人、运行状态、关联关系等。,否
369,154,是否按照安全责任和惩戒措施规定对违反违背安全策略和规定的人员进行惩戒。,检查主要应用系统设计和验收文档，查看是否对一个访问帐户或一个请求进程占用的资源分配最大限额和最小限额。,否
378,154,是否按照安全责任和惩戒措施规定对违反违背安全策略和规定的人员进行惩戒。,检查安全责任惩戒记录，是否对违反安全策略和规定的人员进行惩戒。,否
548,154,是否按照安全责任和惩戒措施规定对违反违背安全策略和规定的人员进行惩戒。,a)访谈开发负责人，询问涉及核心交易业务系统的上线测试，是否组织全市场或全公司各相关部门测试；b)抽查核心系统上线测试方案、测试记录，是否体现参测机构及部门。,否
559,154,是否按照安全责任和惩戒措施规定对违反违背安全策略和规定的人员进行惩戒。,检查配置库文档，配置项属性是否至少包括编号、名称、描述、维护责任人、运行状态、关联关系等。,否
593,154,是否按照安全责任和惩戒措施规定对违反违背安全策略和规定的人员进行惩戒。,检查主要应用系统设计和验收文档，查看是否对一个访问帐户或一个请求进程占用的资源分配最大限额和最小限额。,否
155,155,是否建立健全网络与信息安全事件应急处置组织体系，明确网络与信息安全事件的应急指挥决策机构和执行机构，负责网络与信息安全事件的预防预警、应急处置、报告和调查处理工作。,检查是否建立健全网络与信息安全事件应急处置组织体系，是否明确应急指挥决策机构由主要领导负责，成员包括但不限于业务、技术、风险控制、结算、财务、客服及综合等有关部门负责人。,是
258,155,是否建立健全网络与信息安全事件应急处置组织体系，明确网络与信息安全事件的应急指挥决策机构和执行机构，负责网络与信息安全事件的预防预警、应急处置、报告和调查处理工作。,a)检查安全教育和培训计划文档，查看计划是否明确了培训方式、培训对象、培训内容、培训时间和地点等，培训内容是否包含信息安全基础知识、岗位操作规程、机房消防及相关应急内容等；b)检查安全教育和培训记录，...,否
379,155,是否建立健全网络与信息安全事件应急处置组织体系，明确网络与信息安全事件的应急指挥决策机构和执行机构，负责网络与信息安全事件的预防预警、应急处置、报告和调查处理工作。,检查是否建立健全网络与信息安全事件应急处置组织体系，是否明确应急指挥决策机构由主要领导负责，成员包括但不限于业务、技术、风险控制、结算、财务、客服及综合等有关部门负责人。,否
482,155,是否建立健全网络与信息安全事件应急处置组织体系，明确网络与信息安全事件的应急指挥决策机构和执行机构，负责网络与信息安全事件的预防预警、应急处置、报告和调查处理工作。,a)检查安全教育和培训计划文档，查看计划是否明确了培训方式、培训对象、培训内容、培训时间和地点等，培训内容是否包含信息安全基础知识、岗位操作规程、机房消防及相关应急内容等；b)检查安全教育和培训记录，...,否
603,155,是否建立健全网络与信息安全事件应急处置组织体系，明确网络与信息安全事件的应急指挥决策机构和执行机构，负责网络与信息安全事件的预防预警、应急处置、报告和调查处理工作。,检查应急预案，是否建立健全网络与信息安全事件应急处置组织体系，明确网络与信息安全事件的应急指挥决策机构和执行机构，负责网络与信息安全事件的预防预警、应急处置、报告和调查处理工作。,否
612,155,是否建立健全网络与信息安全事件应急处置组织体系，明确网络与信息安全事件的应急指挥决策机构和执行机构，负责网络与信息安全事件的预防预警、应急处置、报告和调查处理工作。,a)审阅应急处置联络手册，是否至少包括应急处置组织体系及相关关联单位的应急联络方式，且联络方式必须明确详细；b)抽查应急处置联络手册中的相关信息是否真实、有效、可用。,否
632,155,是否建立健全网络与信息安全事件应急处置组织体系，明确网络与信息安全事件的应急指挥决策机构和执行机构，负责网络与信息安全事件的预防预警、应急处置、报告和调查处理工作。,a)检查主要服务器操作系统、重要终端操作系统和主要数据库管理系统的安全审计策略，查看安全审计配置是否包括系统内重要用户行为、系统资源的异常和重要系统命令的使用等重要的安全相关事件；b)检查是否在确保系...,否
156,156,合规部门、风险管理部门或岗位是否参与应急演练工作。,抽查检查期间公司的重要业务系统应急演练流程及相关审批文件，检查合规部门、风险管理部门是否参与相关工作。,是
226,156,合规部门、风险管理部门或岗位是否参与应急演练工作。,a)检查公司是否制定建党100年网络保障自查清单。b)查看检查记录，确认公司是否根据清单对网络安全进行排查。,否
318,156,合规部门、风险管理部门或岗位是否参与应急演练工作。,抽查核心业务系统开发审批记录，抽查开发相关材料，关注系统开发设计中的安全要求。,否
344,156,合规部门、风险管理部门或岗位是否参与应急演练工作。,查看运维值班负责人及备岗人员值班记录，判断是否没有同时离岗。,否
362,156,合规部门、风险管理部门或岗位是否参与应急演练工作。,检查应用系统的用户角色或权限的分配情况，查看是否仅授予不同帐户为完成各自承担任务所需的最小权限。,否
380,156,合规部门、风险管理部门或岗位是否参与应急演练工作。,抽查检查期间公司的重要业务系统应急演练流程及相关审批文件，检查合规部门、风险管理部门是否参与相关工作。,否
542,156,合规部门、风险管理部门或岗位是否参与应急演练工作。,检查核心交易业务系统设计和验收文档，确定核心交易业务系统是否提示并阻止用户使用弱口令登录。,否
608,156,合规部门、风险管理部门或岗位是否参与应急演练工作。,检查应急预案评估报告，判断是否根据应急演练的情况进行评估和更新。,否
643,156,合规部门、风险管理部门或岗位是否参与应急演练工作。,a)检查“表L.3-电力情况-供电方式（可多选）”，访谈机房管理员，询问机房是否采用了双路市电；b)检查双路市电线路切换记录或供电部门相关协议，查看双路市电是否能够自动切换。,否
671,156,合规部门、风险管理部门或岗位是否参与应急演练工作。,访谈系统建设负责人，询问软件安装之前是否检测软件中的恶意代码；,否
157,157,是否在统一的网络与信息安全事件应急预案框架下制定不同事件的应急预案，应急预案框架应包括处置应对责任机制、指挥机制、响应流程、临机处置权限等内容。,a)检查应急预案框架，查看其内容是否覆盖处置应对责任机制、指挥机制、响应流程、临机处置权限等内容。_x000b_b)检查是否具有根据应急预案框架制定的不同事件的应急预案。,是
381,157,是否在统一的网络与信息安全事件应急预案框架下制定不同事件的应急预案，应急预案框架应包括处置应对责任机制、指挥机制、响应流程、临机处置权限等内容。,a)检查应急预案框架，查看其内容是否覆盖处置应对责任机制、指挥机制、响应流程、临机处置权限等内容。_x000b_b)检查是否具有根据应急预案框架制定的不同事件的应急预案。,否
495,157,是否在统一的网络与信息安全事件应急预案框架下制定不同事件的应急预案，应急预案框架应包括处置应对责任机制、指挥机制、响应流程、临机处置权限等内容。,a)询问安全管理员，防病毒网关和邮件防病毒网关的恶意代码库的升级机制；b)检查恶意代码库的升级记录，判断是否定期；c)检查恶意代码分析报告，确认对防病毒网关和邮件防病毒网关上截获的危险病毒或恶意代码进...,否
496,157,是否在统一的网络与信息安全事件应急预案框架下制定不同事件的应急预案，应急预案框架应包括处置应对责任机制、指挥机制、响应流程、临机处置权限等内容。,a)询问安全管理员，防病毒网关和邮件防病毒网关的恶意代码库的升级机制；b)检查恶意代码库的升级记录，判断是否定期；c)检查恶意代码分析报告，确认对防病毒网关和邮件防病毒网关上截获的危险病毒或恶意代码进...,否
158,158,应将网络攻击场景纳入应急预案。,检查应急预案，确认是否将网络攻击场景纳入应急预案。,是
159,159,应制定外包服务意外终止的应急措施。,检查应急预案，确认是否制定了外包服务意外终止的应急措施。,是
160,160,网络与信息安全事件应急预案内容是否根据应急演练的情况进行评估和更新。,检查应急预案评估报告，判断是否根据应急演练的情况进行评估和更新。,是
281,160,网络与信息安全事件应急预案内容是否根据应急演练的情况进行评估和更新。,检查按照补丁前是否对重要文件进行备份，在测试环境中测试。,否
384,160,网络与信息安全事件应急预案内容是否根据应急演练的情况进行评估和更新。,检查应急预案评估报告，判断是否根据应急演练的情况进行评估和更新。,否
387,160,网络与信息安全事件应急预案内容是否根据应急演练的情况进行评估和更新。,检查应急预案，判断是否包括网络与信息安全事件的报告流程。,否
469,160,网络与信息安全事件应急预案内容是否根据应急演练的情况进行评估和更新。,检查是否有软件开发方面的管理制度，查看文件是否明确软件设计、开发、测试、验收过程的控制方法和人员行为准则，是否明确哪些开发活动应经过授权、审批等。,否
470,160,网络与信息安全事件应急预案内容是否根据应急演练的情况进行评估和更新。,检查是否有软件开发方面的管理制度，查看文件是否明确软件设计、开发、测试、验收过程的控制方法和人员行为准则，是否明确哪些开发活动应经过授权、审批等。,否
481,160,网络与信息安全事件应急预案内容是否根据应急演练的情况进行评估和更新。,检查供应商管理制度，查看是否有对供应商支持运维服务的相关活动进行统一管理的规定。,否
547,160,网络与信息安全事件应急预案内容是否根据应急演练的情况进行评估和更新。,访谈开发负责人，询问是否为系统测试配备必要的人员和设备资源，需要时协调关联单位配合测试。,否
578,160,网络与信息安全事件应急预案内容是否根据应急演练的情况进行评估和更新。,检查供应商管理制度，查看是否有对供应商支持运维服务的相关活动进行统一管理的规定。,否
611,160,网络与信息安全事件应急预案内容是否根据应急演练的情况进行评估和更新。,检查应急预案，判断是否包括网络与信息安全事件的报告流程。,否
619,160,网络与信息安全事件应急预案内容是否根据应急演练的情况进行评估和更新。,检查应急预案，判断是否包括网络与信息安全事件的报告流程。,否
623,160,网络与信息安全事件应急预案内容是否根据应急演练的情况进行评估和更新。,检查应急预案，判断是否包括网络与信息安全事件的报告流程。,否
659,160,网络与信息安全事件应急预案内容是否根据应急演练的情况进行评估和更新。,检查供应商管理制度，查看是否有对供应商支持运维服务的相关活动进行统一管理的规定。,否
161,161,网络与信息安全事件应急预案内容是否包括网络与信息安全事件处置的具体方案。,检查应急预案，判断是否包括网络与信息安全事件处置的具体方案。,是
229,161,网络与信息安全事件应急预案内容是否包括网络与信息安全事件处置的具体方案。,查阅IT治理委员会成立发文。,否
238,161,网络与信息安全事件应急预案内容是否包括网络与信息安全事件处置的具体方案。,查阅公司员工名录，取得IT部门及风险管理部门、合规管理部门员工职责分工表及员工简历，确认信息技术合规及风险管理岗位人员是否有IT专业背景或工作经验。,否
271,161,网络与信息安全事件应急预案内容是否包括网络与信息安全事件处置的具体方案。,a)询问安全管理员，防病毒网关和邮件防病毒网关的恶意代码库的升级机制； b)检查恶意代码库的升级记录，判断是否定期。,否
301,161,网络与信息安全事件应急预案内容是否包括网络与信息安全事件处置的具体方案。,检查漏洞修补（变更）报告，确认对发现的网络系统安全漏洞进行了风险评估并及时修补，完成修补工作后进行了验证测试。,否
385,161,网络与信息安全事件应急预案内容是否包括网络与信息安全事件处置的具体方案。,检查应急预案，判断是否包括网络与信息安全事件处置的具体方案。,否
449,161,网络与信息安全事件应急预案内容是否包括网络与信息安全事件处置的具体方案。,检查应急预案，判断是否包括网络与信息安全事件处置的具体方案。,否
515,161,网络与信息安全事件应急预案内容是否包括网络与信息安全事件处置的具体方案。,检查相关服务说明或合同等材料，确定受托方是否为委托方提供信息系统运维和监控条件，满足委托方运维和监控需要。,否
570,161,网络与信息安全事件应急预案内容是否包括网络与信息安全事件处置的具体方案。,查看问题管理制度，是否对运维活动中发现的问题建立问题库。,否
609,161,网络与信息安全事件应急预案内容是否包括网络与信息安全事件处置的具体方案。,检查应急预案，判断是否包括网络与信息安全事件处置的具体方案。,否
162,162,网络与信息安全事件应急预案内容是否包括网络与信息安全事件内部调查处理以及分析总结的要求。,检查应急预案，判断是否包括网络与信息安全事件内部调查处理以及分析总结的要求。,是
163,163,网络与信息安全事件应急预案内容是否包括网络与信息安全事件的报告流程。,检查应急预案，判断是否包括网络与信息安全事件的报告流程。,是
164,164,是否制定应急处置联络手册。应急处置联络手册是否至少包括应急处置组织体系及相关关联单位的应急联络方式。,审阅应急处置联络手册，是否至少包括应急处置组织体系及相关关联单位的应急联络方式，且联络方式必须明确详细。,是
334,164,是否制定应急处置联络手册。应急处置联络手册是否至少包括应急处置组织体系及相关关联单位的应急联络方式。,检查配置库文档，是否包括对交易业务系统的服务器、存储、网络、安全设备，操作系统、应用软件、数据库等配置清单。,否
388,164,是否制定应急处置联络手册。应急处置联络手册是否至少包括应急处置组织体系及相关关联单位的应急联络方式。,审阅应急处置联络手册，是否至少包括应急处置组织体系及相关关联单位的应急联络方式，且联络方式必须明确详细。,否
525,164,是否制定应急处置联络手册。应急处置联络手册是否至少包括应急处置组织体系及相关关联单位的应急联络方式。,a)访谈网络管理员，询问是否每季度对网络进行漏洞扫描，发现漏洞如何处理；b)检查漏洞扫描报告，确认每季度对网络系统进行了漏洞扫描；c)检查漏洞修补（变更）报告，确认对发现的网络系统安全漏洞进行了风险评...,否
558,164,是否制定应急处置联络手册。应急处置联络手册是否至少包括应急处置组织体系及相关关联单位的应急联络方式。,检查配置库文档，是否包括对交易业务系统的服务器、存储、网络、安全设备，操作系统、应用软件、数据库等配置清单。,否
563,164,是否制定应急处置联络手册。应急处置联络手册是否至少包括应急处置组织体系及相关关联单位的应急联络方式。,查看问题库，是否对问题进行分析、提出解决方案、通过变更管理审批后部署实施，并将解决过程归纳整理并纳入问题库。,否
165,165,是否指定通报联络人，明确联络方式。通报联络人至少包括信息技术负责人及其备岗。通报联络方式至少包括应急值守电话与传真。将通报联络人及其联络方式及时通知监管部门、行业协会和相关单位。,a)查看应急处置联络手册，确认指定了通报联络人，至少包括信息技术负责人及其备岗；确认通报人联络方式至少包括应急值守电话与传真；b)访谈通报联络人，询问是否知悉其职责范围；,是
389,165,是否指定通报联络人，明确联络方式。通报联络人至少包括信息技术负责人及其备岗。通报联络方式至少包括应急值守电话与传真。将通报联络人及其联络方式及时通知监管部门、行业协会和相关单位。,a)查看应急处置联络手册，确认指定了通报联络人，至少包括信息技术负责人及其备岗；确认通报人联络方式至少包括应急值守电话与传真；b)访谈通报联络人，询问是否知悉其职责范围；,否
545,165,是否指定通报联络人，明确联络方式。通报联络人至少包括信息技术负责人及其备岗。通报联络方式至少包括应急值守电话与传真。将通报联络人及其联络方式及时通知监管部门、行业协会和相关单位。,a)访谈开发负责人，询问是否根据系统上线要求制定测试方案，确定采用的测试方法和测试流程；b)检查是否具有测试方案，是否包括覆盖功能、性能、容量、安全性、稳定性等方面；c)检查近期上线系统的测试报告。,否
613,165,是否指定通报联络人，明确联络方式。通报联络人至少包括信息技术负责人及其备岗。通报联络方式至少包括应急值守电话与传真。将通报联络人及其联络方式及时通知监管部门、行业协会和相关单位。,a)查看应急处置联络手册，确认指定了通报联络人，至少包括信息技术负责人及其备岗；确认通报人联络方式至少包括应急值守电话与传真；b)访谈通报联络人，询问是否知悉其职责范围；c)查阅通报联络人正式发文，确...,否
615,165,是否指定通报联络人，明确联络方式。通报联络人至少包括信息技术负责人及其备岗。通报联络方式至少包括应急值守电话与传真。将通报联络人及其联络方式及时通知监管部门、行业协会和相关单位。,a)查看应急处置联络手册，确认指定了通报联络人，至少包括信息技术负责人及其备岗；确认通报人联络方式至少包括应急值守电话与传真；b)访谈通报联络人，询问是否知悉其职责范围；c)查阅通报联络人正式发文，确...,否
166,166,应急处置联络手册是否及时更新。,抽查应急处置联络手册中的相关信息是否真实、有效、可用。,是
167,167,是否向证监会报备应急联络信息，并在发生变化时及时通知相关单位。,查阅通报联络人正式发文，确认将通报联络人及其联络方式及时通知了监管部门、行业协会和相关单位。,是
168,168,是否对系统相关的人员进行应急预案培训，应急预案的培训是否至少每年举办一次。,a)访谈系统运维负责人，询问是否对系统相关人员进行应急预案培训，多长时间举办一次；_x000b_b)检查应急培训记录，判断系统相关人员是否参加、是否每年至少一次。,是
327,168,是否对系统相关的人员进行应急预案培训，应急预案的培训是否至少每年举办一次。,a)访谈开发负责人，询问是否根据需要，要求生产系统运维人员和业务部门组织业务人员参与模拟环境测试；_x000b_b)查看测试通知或记录，是否有生产系统运维人员和业务部门组织业务人员参与。,否
392,168,是否对系统相关的人员进行应急预案培训，应急预案的培训是否至少每年举办一次。,a)访谈系统运维负责人，询问是否对系统相关人员进行应急预案培训，多长时间举办一次；_x000b_b)检查应急培训记录，判断系统相关人员是否参加、是否每年至少一次。,否
551,168,是否对系统相关的人员进行应急预案培训，应急预案的培训是否至少每年举办一次。,a)访谈开发负责人，询问是否根据需要，要求生产系统运维人员和业务部门组织业务人员参与模拟环境测试；b)查看测试通知或记录，是否有生产系统运维人员和业务部门组织业务人员参与。,否
616,168,是否对系统相关的人员进行应急预案培训，应急预案的培训是否至少每年举办一次。,a)访谈系统运维负责人，询问是否对系统相关人员进行应急预案培训，多长时间举办一次；b)检查应急培训记录，判断系统相关人员是否参加、是否每年至少一次。,否
169,169,是否根据应急预案的内容，制定详细的应急演练计划。,检查应急演练计划，确是否制定了正式的应急演练计划。,是
170,170,应急演练计划是否至少包括演练的目的、内容、时间、参与方、方式、前期准备情况、统计与记录要求、系统恢复与验证要求等内容。,检查应急演练计划，是否至少包括目的、内容、时间、参与方、方式、前期准备情况、统计与记录要求、系统恢复与验证要求等内容。,是
394,170,应急演练计划是否至少包括演练的目的、内容、时间、参与方、方式、前期准备情况、统计与记录要求、系统恢复与验证要求等内容。,检查应急演练计划，是否至少包括目的、内容、时间、参与方、方式、前期准备情况、统计与记录要求、系统恢复与验证要求等内容。,否
171,171,公司应急演练是否覆盖公司核心交易业务系统，是否覆盖其他场景应急演练覆盖情况，包括但不限于网络、通信、灾难、突发事件等方面的应急演练情况。,查阅公司应急演练计划及相关报告。,是
395,171,公司应急演练是否覆盖公司核心交易业务系统，是否覆盖其他场景应急演练覆盖情况，包括但不限于网络、通信、灾难、突发事件等方面的应急演练情况。,查阅公司应急演练计划及相关报告。,否
172,172,是否与银行等外部关联机构开展过联合应急演练，包括银证转账系统、银期转账系统、基金估值系统等。,查阅公司应急演练计划及相关报告。,是
396,172,是否与银行等外部关联机构开展过联合应急演练，包括银证转账系统、银期转账系统、基金估值系统等。,查阅公司应急演练计划及相关报告。,否
173,173,是否对演练中发现的问题进行改进。,检查演练整改报告，是否对演练中发现的问题进行改进。,是
174,174,是否定期或不定期开展信息技术风险评估活动，或聘请外部有资质的机构定期进行信息技术风险评估,查看信息技术风险评估报告,是
357,174,是否定期或不定期开展信息技术风险评估活动，或聘请外部有资质的机构定期进行信息技术风险评估,APP、系统,否
386,174,是否定期或不定期开展信息技术风险评估活动，或聘请外部有资质的机构定期进行信息技术风险评估,检查应急预案，判断是否包括网络与信息安全事件内部调查处理以及分析总结的要求。,否
610,174,是否定期或不定期开展信息技术风险评估活动，或聘请外部有资质的机构定期进行信息技术风险评估,检查应急预案，判断是否包括网络与信息安全事件内部调查处理以及分析总结的要求。,否
175,175,信息技术风险评估结果是否经IT治理委员会审定后，向公司总经理汇报，并向业务、合规、审计等部门传达,检查信息技术风险评估报告审批流转流程,是
292,175,信息技术风险评估结果是否经IT治理委员会审定后，向公司总经理汇报，并向业务、合规、审计等部门传达,调阅数据安全相关制度，确认是否对按照数据的敏感程度对数据进行分类分级。,否
602,175,信息技术风险评估结果是否经IT治理委员会审定后，向公司总经理汇报，并向业务、合规、审计等部门传达,a)检查安全责任和惩戒措施管理文档，查看是否包含具体的安全责任和惩戒措施；b)检查安全责任惩戒记录，是否对违反安全策略和规定的人员进行惩戒。,否
176,176,公司是否定期开展风险监测机制及执行情况的有效性评估。,查阅公司评估报告或其他公文材料，检查是否对风险监测和评估执行情况进行有效性评估。,是
177,177,公司风险监测机制及执行情况的有效性评估报告是否报送公司管理层。,查阅公司评估报告或其他公文材料，检查有效性评估报告是否报送公司管理层。,是
178,178,是否制定审计计划，审计计划是否保证3年内完成IT全面审计。,查阅审计计划,是
179,179,是否对公司进行专项IT审计。,查阅公司内部专项审计报告、审批、流转流程，确认是否进行了专项IT审计。,是
228,179,是否对公司进行专项IT审计。,查阅IT治理委员会成立发文。,否
245,179,是否对公司进行专项IT审计。,检查是否有软件开发方面的管理制度。,否
348,179,是否对公司进行专项IT审计。,根据公司提供的核心业务系统变更清单，抽查变更评审记录，确认变更后，业务部门进行了确认。,否
352,179,是否对公司进行专项IT审计。,检查邮件系统，确认是否设置密码策略，包括密码复杂度、密码有效期等。,否
403,179,是否对公司进行专项IT审计。,查阅公司内部专项审计报告、审批、流转流程，确认是否进行了专项IT审计。,否
456,179,是否对公司进行专项IT审计。,a)访谈物理安全负责人，询问机房是否设置有交流电源地线；b)检查机房验收合格证明，是否有设置交流电源地线的说明。,否
510,179,是否对公司进行专项IT审计。,检查配置库维护记录，判断是否定期对配置库进行备份。,否
514,179,是否对公司进行专项IT审计。,检查配置库维护记录，判断是否定期对配置库进行备份。,否
652,179,是否对公司进行专项IT审计。,检查配置库维护记录，判断是否定期对配置库进行备份。,否
180,180,在发生较大以上级别信息安全事件或频繁发生安全事件时，内部审计部门或合规风控部门是否对信息技术系统开展专项审计。,查阅公司内部专项审计报告、审批、流转流程，确认是否对重大信息安全事件开展专项审计。,是
181,181,是否每年对运维制度的执行情况和运维工作开展情况定期进行检查和审计。,检查审计期内的IT检查和审计记录，确认审计内容是否包含对IT 运维工作流程的审计。,是
339,181,是否每年对运维制度的执行情况和运维工作开展情况定期进行检查和审计。,查看问题库，是否对问题进行分析、提出解决方案、通过变更管理审批后部署实施。,否
349,181,是否每年对运维制度的执行情况和运维工作开展情况定期进行检查和审计。,抽查核心业务系统变更的历史记录。,否
182,182,信息系统运维管理工作审计范围是否至少包括对运维管理制度和操作流程的合理性和完整性进行评估，对运维管理制度和操作流程的执行情况进行评估，对文档、配置、数据的有效性进行评估，对整体安全状况进行评估，对运维人员履职能力进行评估等。,检查信息系统运维管理工作审计报告，确定信息系统运维管理工作审计范围至少包括对运维管理制度和操作流程的合理性和完整性进行评估，对运维管理制度和操作流程的执行情况进行评估，对文档、配置、数据的有效性进行评...,是
406,182,信息系统运维管理工作审计范围是否至少包括对运维管理制度和操作流程的合理性和完整性进行评估，对运维管理制度和操作流程的执行情况进行评估，对文档、配置、数据的有效性进行评估，对整体安全状况进行评估，对运维人员履职能力进行评估等。,检查信息系统运维管理工作审计报告，确定信息系统运维管理工作审计范围至少包括对运维管理制度和操作流程的合理性和完整性进行评估，对运维管理制度和操作流程的执行情况进行评估，对文档、配置、数据的有效性进行评...,否
183,183,是否对审计发现的问题进行整改。,查阅公司内部专项审计报告，确认公司是否根据审计意见进行整改。,是
